"deviceId","datetime","laneOrder","bigVolume","bigSpeed","carVolume","carSpeed","motorVolume","motorSpeed","avgSpeed","laneOccupy","totalVolume"
"V003340","2022/11/01 0000","0","2","50","14","67","0","0","64","1","16"
"V003340","2022/11/01 0100","0","18","49","210","59","0","0","58","1","228"
"V003340","2022/11/01 0200","0","20","47","169","58","0","0","57","1","189"
"V003340","2022/11/01 0300","0","8","53","132","61","0","0","59","1","140"
"V003340","2022/11/01 0400","0","9","50","122","60","0","0","59","1","131"
"V003340","2022/11/01 0500","0","7","47","106","57","0","0","57","1","113"
"V003340","2022/11/01 0600","0","26","48","175","54","0","0","53","1","201"
"V003340","2022/11/01 0700","0","87","54","368","58","0","0","57","1","455"
"V003340","2022/11/01 0800","0","109","53","639","57","0","0","57","3","748"
"V003340","2022/11/01 0900","0","118","48","638","55","0","0","54","4","756"
"V003340","2022/11/01 1000","0","114","49","785","55","0","0","54","4","899"
"V003340","2022/11/01 1100","0","109","50","717","57","0","0","56","4","826"
"V003340","2022/11/01 1200","0","76","55","708","58","0","0","58","3","784"
"V003340","2022/11/01 1300","0","118","49","709","57","0","0","56","4","827"
"V003340","2022/11/01 1400","0","104","52","703","57","0","0","56","4","807"
"V003340","2022/11/01 1500","0","129","49","738","55","0","0","54","5","867"
"V003340","2022/11/01 1600","0","123","54","790","56","0","0","56","5","913"
"V003340","2022/11/01 1700","0","138","49","824","54","0","0","53","5","962"
"V003340","2022/11/01 1800","0","188","45","725","49","0","0","48","9","913"
"V003340","2022/11/01 1900","0","268","38","609","41","0","0","39","12","877"
"V003340","2022/11/01 2000","0","98","49","710","56","0","0","56","4","808"
"V003340","2022/11/01 2100","0","57","54","709","59","0","0","59","2","766"
"V003340","2022/11/01 2200","0","57","50","610","59","0","0","59","3","667"
"V003340","2022/11/01 2300","0","19","54","388","62","0","0","61","1","407"
"V003340","2022/11/02 0000","0","13","54","294","63","0","0","63","1","307"
"V003340","2022/11/02 0100","0","13","53","247","59","0","0","59","1","260"
"V003340","2022/11/02 0200","0","14","49","158","61","0","0","60","1","172"
"V003340","2022/11/02 0300","0","4","54","122","60","0","0","60","1","126"
"V003340","2022/11/02 0400","0","10","49","128","62","0","0","61","1","138"
"V003340","2022/11/02 0500","0","8","53","121","58","0","0","58","1","129"
"V003340","2022/11/02 0600","0","22","48","173","59","0","0","58","1","195"
"V003340","2022/11/02 0700","0","63","57","363","59","0","0","58","1","426"
"V003340","2022/11/02 0800","0","119","48","657","57","0","0","56","4","776"
"V003340","2022/11/02 0900","0","121","48","694","55","0","0","54","4","815"
"V003340","2022/11/02 1000","0","102","52","695","56","0","0","55","3","797"
"V003340","2022/11/02 1100","0","115","53","830","57","0","0","57","4","945"
"V003340","2022/11/02 1200","0","97","53","631","58","0","0","57","3","728"
"V003340","2022/11/02 1300","0","134","51","703","58","0","0","56","4","837"
"V003340","2022/11/02 1400","0","115","54","755","58","0","0","57","3","870"
"V003340","2022/11/02 1500","0","137","51","814","56","0","0","55","6","951"
"V003340","2022/11/02 1600","0","94","50","649","56","0","0","55","4","743"
"V003340","2022/11/02 1700","0","144","50","876","55","0","0","54","6","1020"
"V003340","2022/11/02 1800","0","150","47","881","51","0","0","51","7","1031"
