"deviceId","datetime","laneOrder","bigVolume","bigSpeed","carVolume","carSpeed","motorVolume","motorSpeed","avgSpeed","laneOccupy","totalVolume"
"V003400","2022/07/01 0000","0","0","0","17","37","1","19","34","37","18"
"V003400","2022/07/01 0100","0","10","27","206","39","2","0","33","13","218"
"V003400","2022/07/01 0200","0","6","7","125","41","0","0","37","8","131"
"V003400","2022/07/01 0300","0","2","4","134","41","2","13","40","15","138"
"V003400","2022/07/01 0400","0","7","16","97","40","0","0","32","18","104"
"V003400","2022/07/01 0500","0","1","22","77","38","0","0","38","8","78"
"V003400","2022/07/01 0600","0","6","10","94","44","1","20","39","11","101"
"V003400","2022/07/01 0700","0","18","25","259","41","7","3","25","19","284"
"V003400","2022/07/01 0800","0","84","32","488","38","8","7","8","23","580"
"V003400","2022/07/01 0900","0","45","21","452","35","16","3","11","24","513"
"V003400","2022/07/01 1000","0","73","29","450","36","8","2","12","17","531"
"V003400","2022/07/01 1100","0","49","26","442","35","5","8","15","21","496"
"V003400","2022/07/01 1200","0","68","28","469","32","9","0","11","27","546"
"V003400","2022/07/01 1300","0","43","22","385","32","10","3","11","30","438"
"V003400","2022/07/01 1400","0","60","23","535","31","17","0","13","24","612"
"V003400","2022/07/01 1500","0","52","23","429","30","13","2","11","26","494"
"V003400","2022/07/01 1600","0","74","29","506","32","10","0","8","21","590"
"V003400","2022/07/01 1700","0","67","25","511","33","8","2","15","21","586"
"V003400","2022/07/01 1800","0","97","22","408","26","27","3","7","25","532"
"V003400","2022/07/01 1900","0","89","23","518","30","12","2","8","20","619"
"V003400","2022/07/01 2000","0","80","23","530","32","14","2","9","28","624"
"V003400","2022/07/01 2100","0","67","32","608","34","12","4","9","23","687"
"V003400","2022/07/01 2200","0","50","30","545","34","9","5","10","20","604"
"V003400","2022/07/01 2300","0","28","15","367","33","14","6","22","22","409"
"V003400","2022/07/02 0000","0","19","23","346","39","4","2","30","17","369"
"V003400","2022/07/02 0100","0","10","25","247","40","2","0","36","14","259"
"V003400","2022/07/02 0200","0","9","43","184","43","1","0","33","16","194"
"V003400","2022/07/02 0300","0","6","15","164","39","2","5","38","17","172"
"V003400","2022/07/02 0400","0","5","56","117","42","0","0","41","5","122"
"V003400","2022/07/02 0500","0","4","30","122","40","1","0","37","10","127"
"V003400","2022/07/02 0600","0","9","41","165","42","1","3","36","10","175"
"V003400","2022/07/02 0700","0","17","23","210","40","3","0","30","16","230"
"V003400","2022/07/02 0800","0","17","17","318","39","13","2","21","29","348"
"V003400","2022/07/02 0900","0","36","29","406","38","4","2","19","20","446"
"V003400","2022/07/02 1000","0","27","27","377","34","7","0","16","23","411"
