"deviceId","datetime","laneOrder","bigVolume","bigSpeed","carVolume","carSpeed","motorVolume","motorSpeed","avgSpeed","laneOccupy","totalVolume"
"V003400","2022/01/01 0000","0","0","0","38","40","0","0","41","23","38"
"V003400","2022/01/01 0100","0","22","20","390","37","5","5","33","26","417"
"V003400","2022/01/01 0200","0","40","19","493","36","8","4","23","23","541"
"V003400","2022/01/01 0300","0","28","24","341","41","4","11","32","22","373"
"V003400","2022/01/01 0400","0","12","32","280","39","4","9","34","21","296"
"V003400","2022/01/01 0500","0","7","39","219","42","1","15","35","12","227"
"V003400","2022/01/01 0600","0","15","26","183","41","0","0","34","18","198"
"V003400","2022/01/01 0700","0","18","39","239","44","2","0","33","10","259"
"V003400","2022/01/01 0800","0","31","38","335","42","7","1","26","22","373"
"V003400","2022/01/01 0900","0","51","28","390","37","2","0","20","23","443"
"V003400","2022/01/01 1000","0","58","33","469","34","6","0","15","22","533"
"V003400","2022/01/01 1100","0","85","21","357","27","8","2","11","16","450"
"V003400","2022/01/01 1200","0","74","10","257","20","9","0","4","19","340"
"V003400","2022/01/01 1300","0","44","18","357","25","8","2","11","31","409"
"V003400","2022/01/01 1400","0","84","21","423","28","8","0","12","23","515"
"V003400","2022/01/01 1500","0","77","11","226","13","8","7","5","26","311"
"V003400","2022/01/01 1600","0","78","13","258","18","12","3","9","27","348"
"V003400","2022/01/01 1700","0","70","21","361","26","9","1","12","28","440"
"V003400","2022/01/01 1800","0","52","24","305","28","15","1","14","28","372"
"V003400","2022/01/01 1900","0","93","21","451","27","9","4","9","27","553"
"V003400","2022/01/01 2000","0","98","19","391","26","16","6","6","30","505"
"V003400","2022/01/01 2100","0","89","21","401","26","15","2","11","29","505"
"V003400","2022/01/01 2200","0","108","19","410","24","10","3","9","27","528"
"V003400","2022/01/01 2300","0","56","21","444","30","22","4","14","26","522"
"V003400","2022/01/02 0000","0","31","25","390","38","1","0","23","24","422"
"V003400","2022/01/02 0100","0","14","19","311","39","1","0","34","21","326"
"V003400","2022/01/02 0200","0","9","40","264","41","1","15","35","12","274"
"V003400","2022/01/02 0300","0","9","26","161","44","0","0","38","11","170"
"V003400","2022/01/02 0400","0","6","21","147","45","0","0","39","8","153"
"V003400","2022/01/02 0500","0","4","43","115","43","0","0","39","8","119"
"V003400","2022/01/02 0600","0","6","36","125","39","1","0","34","14","132"
"V003400","2022/01/02 0700","0","18","29","164","41","0","0","31","11","182"
"V003400","2022/01/02 0800","0","31","33","292","40","3","2","25","16","326"
"V003400","2022/01/02 0900","0","24","20","293","39","7","3","23","21","324"
"V003400","2022/01/02 1000","0","34","32","414","37","6","0","20","21","454"
"V003400","2022/01/02 1100","0","67","19","432","28","7","4","12","25","506"
"V003400","2022/01/02 1200","0","73","20","324","24","6","0","12","22","403"
"V003400","2022/01/02 1300","0","44","18","377","30","5","2","14","22","426"
"V003400","2022/01/02 1400","0","46","23","369","32","4","0","17","29","419"
"V003400","2022/01/02 1500","0","77","16","332","25","10","7","9","27","419"
"V003400","2022/01/02 1600","0","46","20","393","33","8","2","16","22","447"
"V003400","2022/01/02 1700","0","59","24","423","31","7","1","11","22","489"
"V003400","2022/01/02 1800","0","66","25","346","29","10","9","11","36","422"
"V003400","2022/01/02 1900","0","75","25","388","27","10","3","9","20","473"
"V003400","2022/01/02 2000","0","76","20","376","26","5","0","10","33","457"
"V003400","2022/01/02 2100","0","76","19","383","26","19","5","7","27","478"
"V003400","2022/01/02 2200","0","82","23","485","27","6","4","10","27","573"
"V003400","2022/01/02 2300","0","51","18","449","35","15","7","15","20","515"
"V003400","2022/01/03 0000","0","26","31","314","41","4","6","27","16","344"
"V003400","2022/01/03 0100","0","6","28","215","40","0","0","36","18","221"
"V003400","2022/01/03 0200","0","3","37","140","41","0","0","37","9","143"
"V003400","2022/01/03 0300","0","3","7","79","36","0","0","34","8","82"
"V003400","2022/01/03 0400","0","4","30","87","38","0","0","33","12","91"
"V003400","2022/01/03 0500","0","4","18","66","39","0","0","38","12","70"
"V003400","2022/01/03 0600","0","15","38","155","43","0","0","35","9","170"
"V003400","2022/01/03 0700","0","37","32","414","44","6","0","27","19","457"
"V003400","2022/01/03 0800","0","127","18","401","27","33","3","7","36","561"
