Route Name:,(V003320)大鵬路(長安路~中清路間)(西東) ~ (V003320)大鵬路(長安路~中清路間)(西東)
Route Information:
Road Segment ID,Road Segment Name
V003320,大鵬路(長安路~中清路間)(西東)

Daily Travel Time Index:
Date,TTI Value
2022/01/01,2.1875
2022/01/02,2.08571
2022/01/03,2.29032
2022/01/04,2.18182
2022/01/05,2.18182
2022/01/06,2.17143
2022/01/07,2.27273
2022/01/08,2.27273
2022/01/09,2.17647
2022/01/10,2.1875
2022/01/11,2.17647
2022/01/12,2.25
2022/01/13,2.23529
2022/01/14,2.46667
2022/01/15,2.18182
2022/01/16,2.18182
2022/01/17,2.11765
2022/01/18,2.1875
2022/01/19,2.22581
2022/01/20,2.18182
2022/01/21,2.23529
2022/01/22,2.24242
2022/01/23,2.21212
2022/01/24,2.25
2022/01/25,2.24242
2022/01/26,2.21875
2022/01/27,2.18182
2022/01/28,2.32258
2022/01/29,2.39394
2022/01/30,2.08333
2022/01/31,2.20588
2022/02/01,2.29032
2022/02/02,2.18182
2022/02/03,2.21875
2022/02/04,2.1875
2022/02/05,2.15625
2022/02/06,2.21875
2022/02/07,2.28125
2022/02/08,2.18182
2022/02/09,2.22857
2022/02/10,2.13889
2022/02/11,2.20588
2022/02/12,2.24242
2022/02/13,2.11765
2022/02/14,2.24242
2022/02/15,2.25806
2022/02/16,2.21875
2022/02/17,2.12903
2022/02/18,2.11765
2022/02/19,2.29032
2022/02/20,2.18182
2022/02/21,2.13889
2022/02/22,2.02632
2022/02/23,2.1875
2022/02/24,2.26667
2022/02/25,2.23529
2022/02/26,2.20588
2022/02/27,2.09091
2022/02/28,2.23529
2022/03/01,2.3871
2022/03/02,2.27273
2022/03/03,2.14706
2022/03/04,2.18182
2022/03/05,2.1875
2022/03/06,2.24242
2022/03/07,2.14286
2022/03/08,2.26471
2022/03/09,2.27273
2022/03/10,2.21212
2022/03/11,2.34375
2022/03/12,2.18182
2022/03/13,2.32258
2022/03/14,2.32258
2022/03/15,2.05405
2022/03/16,2.26471
2022/03/17,2.17143
2022/03/18,2.12121
2022/03/19,2.25
2022/03/20,2.14706
2022/03/21,2.23529
2022/03/22,2.21875
2022/03/23,2.25
2022/03/24,2.14286
2022/03/25,2.17647
2022/03/26,2.1875
2022/03/27,2.3125
2022/03/28,2.14706
2022/03/29,2.14706
2022/03/30,2.25
2022/03/31,2.25806
2022/04/01,2.27273
2022/04/02,2.27273
2022/04/03,2.1
2022/04/04,2.21875
2022/04/05,2.27273
2022/04/06,2.24242
2022/04/07,2.21212
2022/04/08,2.21875
2022/04/09,2.34375
2022/04/10,2.3125
2022/04/11,2.21212
2022/04/12,2.24242
2022/04/13,2.29032
2022/04/14,2.12903
2022/04/15,2.27273
2022/04/16,2.1875
2022/04/17,2.18182
2022/04/18,2.25
2022/04/19,2.28125
2022/04/20,2.17647
2022/04/21,2.28125
2022/04/22,2.32258
2022/04/23,2.22581
2022/04/24,2.18182
2022/04/25,2.24242
2022/04/26,2.21212
2022/04/27,2.14706
2022/04/28,2.25
2022/04/29,2.05882
2022/04/30,2.20588
2022/05/01,2.28125
2022/05/02,2.14286
2022/05/03,2.30303
2022/05/04,2.27273
2022/05/05,2.23529
2022/05/06,2.375
2022/05/07,2.18182
2022/05/08,2.15152
2022/05/09,2.25
2022/05/10,2.08824
2022/05/11,2.28125
2022/05/12,2.14286
2022/05/13,2.30303
2022/05/14,2.17143
2022/05/15,2.35484
2022/05/16,2.26471
2022/05/17,2.32353
2022/05/18,2.18182
2022/05/19,2.12121
2022/05/20,2.17647
2022/05/21,2.14706
2022/05/22,2.28125
2022/05/23,2.11765
2022/05/24,2.2
2022/05/25,2.11429
2022/05/26,2.3125
2022/05/27,2.30303
2022/05/28,2.1875
2022/05/29,2.36667
2022/05/30,2.21212
2022/05/31,2.30303
