Route Name:,(V003340)中清路二段(經貿一路~大鵬路間)(向南) ~ (V003320)大鵬路(長安路~中清路間)(西東)
Route Information:
Road Segment ID,Road Segment Name
V003340,中清路二段(經貿一路~大鵬路間)(向南)
V003320,大鵬路(長安路~中清路間)(西東)

Daily Travel Time Index:
Date,TTI Value
2022/01/01,1.25749
2022/01/02,1.23839
2022/01/03,1.27213
2022/01/04,1.25109
2022/01/05,1.25427
2022/01/06,1.24532
2022/01/07,1.25166
2022/01/08,1.25166
2022/01/09,1.24812
2022/01/10,1.26074
2022/01/11,1.24812
2022/01/12,1.26032
2022/01/13,1.25064
2022/01/14,1.29035
2022/01/15,1.25109
2022/01/16,1.25427
2022/01/17,1.2454
2022/01/18,1.25749
2022/01/19,1.2658
2022/01/20,1.25742
2022/01/21,1.25064
2022/01/22,1.25696
2022/01/23,1.25564
2022/01/24,1.26032
2022/01/25,1.25372
2022/01/26,1.26221
2022/01/27,1.25109
2022/01/28,1.27009
2022/01/29,1.25606
2022/01/30,1.23308
2022/01/31,1.24308
2022/02/01,1.26527
2022/02/02,1.25109
2022/02/03,1.26547
2022/02/04,1.26395
2022/02/05,1.26238
2022/02/06,1.25893
2022/02/07,1.26499
2022/02/08,1.25109
2022/02/09,1.24773
2022/02/10,1.23555
2022/02/11,1.24308
2022/02/12,1.25696
2022/02/13,1.2454
2022/02/14,1.25372
2022/02/15,1.27067
2022/02/16,1.26221
2022/02/17,1.25443
2022/02/18,1.23928
2022/02/19,1.26871
2022/02/20,1.24466
2022/02/21,1.23257
2022/02/22,1.22081
2022/02/23,1.25749
2022/02/24,1.27812
2022/02/25,1.25064
2022/02/26,1.24625
2022/02/27,1.24979
2022/02/28,1.25064
2022/03/01,1.2797
2022/03/02,1.25823
2022/03/03,1.2437
2022/03/04,1.25109
2022/03/05,1.26074
2022/03/06,1.25372
2022/03/07,1.24103
2022/03/08,1.24538
2022/03/09,1.25496
2022/03/10,1.25243
2022/03/11,1.27096
2022/03/12,1.25109
2022/03/13,1.27354
2022/03/14,1.27354
2022/03/15,1.22394
2022/03/16,1.25502
2022/03/17,1.23922
2022/03/18,1.24196
2022/03/19,1.26032
2022/03/20,1.2437
2022/03/21,1.25064
2022/03/22,1.25893
2022/03/23,1.26363
2022/03/24,1.23495
2022/03/25,1.25122
2022/03/26,1.25749
2022/03/27,1.26292
2022/03/28,1.2437
2022/03/29,1.2406
2022/03/30,1.26363
2022/03/31,1.27067
2022/04/01,1.25496
2022/04/02,1.24834
2022/04/03,1.21227
2022/04/04,1.25893
2022/04/05,1.25496
2022/04/06,1.25696
2022/04/07,1.25564
2022/04/08,1.25893
2022/04/09,1.26415
2022/04/10,1.26966
2022/04/11,1.25564
2022/04/12,1.25696
2022/04/13,1.27213
2022/04/14,1.2577
2022/04/15,1.25823
2022/04/16,1.25423
2022/04/17,1.25427
2022/04/18,1.26692
2022/04/19,1.26165
2022/04/20,1.24812
2022/04/21,1.26499
2022/04/22,1.27009
2022/04/23,1.2658
2022/04/24,1.25109
2022/04/25,1.26339
2022/04/26,1.25564
2022/04/27,1.24985
2022/04/28,1.26692
2022/04/29,1.24833
2022/04/30,1.24625
2022/05/01,1.25828
2022/05/02,1.23495
2022/05/03,1.25615
2022/05/04,1.25496
2022/05/05,1.24746
2022/05/06,1.26878
2022/05/07,1.25109
2022/05/08,1.25283
2022/05/09,1.26692
2022/05/10,1.24694
2022/05/11,1.26499
2022/05/12,1.24103
2022/05/13,1.25615
2022/05/14,1.23614
2022/05/15,1.27141
2022/05/16,1.24213
2022/05/17,1.25408
2022/05/18,1.25427
2022/05/19,1.25134
2022/05/20,1.25122
2022/05/21,1.24679
2022/05/22,1.26499
2022/05/23,1.25144
2022/05/24,1.24348
2022/05/25,1.23674
2022/05/26,1.26292
2022/05/27,1.25615
2022/05/28,1.25749
2022/05/29,1.28621
2022/05/30,1.25883
2022/05/31,1.25282
