Route Name:,(V003340)中清路二段(經貿一路~大鵬路間)(向南) ~ (V003340)中清路二段(經貿一路~大鵬路間)(向南)
Route Information:
Road Segment ID,Road Segment Name
V003340,中清路二段(經貿一路~大鵬路間)(向南)

Daily Travel Time Index:
Date,TTI Value
2022/01/01,2.21569
2022/01/02,2.18868
2022/01/03,2.125
2022/01/04,2.14815
2022/01/05,2.16667
2022/01/06,2.28
2022/01/07,2.19608
2022/01/08,2.19608
2022/01/09,2.16667
2022/01/10,2.10526
2022/01/11,2.16667
2022/01/12,2.12727
2022/01/13,2.21154
2022/01/14,2.33333
2022/01/15,2.19231
2022/01/16,2.16667
2022/01/17,2.21154
2022/01/18,2.12727
2022/01/19,2.21569
2022/01/20,2.18519
2022/01/21,2.53659
2022/01/22,2.23529
2022/01/23,2.14545
2022/01/24,2.21569
2022/01/25,2.19231
2022/01/26,2.28571
2022/01/27,2.37778
2022/01/28,2.16981
2022/01/29,2.22
2022/01/30,2.23529
2022/01/31,2.08929
2022/02/01,2.08929
2022/02/02,2.08772
2022/02/03,2.18519
2022/02/04,2.14286
2022/02/05,2.23077
2022/02/06,2.16981
2022/02/07,2.14545
2022/02/08,2.06897
2022/02/09,2.14286
2022/02/10,2.14545
2022/02/11,2.12963
2022/02/12,2.18868
2022/02/13,2.18868
2022/02/14,2.26531
2022/02/15,2.16667
2022/02/16,2.18868
2022/02/17,2.13208
2022/02/18,2.10909
2022/02/19,2.26531
2022/02/20,2.22449
2022/02/21,2.29167
2022/02/22,2.28571
2022/02/23,2.40909
2022/02/24,2.125
2022/02/25,2.18868
2022/02/26,2.21569
2022/02/27,2.21154
2022/02/28,2.08621
2022/03/01,2.12281
2022/03/02,2.14545
2022/03/03,2.14815
2022/03/04,2.14815
2022/03/05,2.16667
2022/03/06,2.06897
2022/03/07,2.26
2022/03/08,2.15094
2022/03/09,2.16981
2022/03/10,2.06897
2022/03/11,2.2549
2022/03/12,2.14815
2022/03/13,2.21154
2022/03/14,2.10526
2022/03/15,2.21569
2022/03/16,2.20755
2022/03/17,2.24
2022/03/18,2.07143
2022/03/19,2.16981
2022/03/20,2.16981
2022/03/21,2.18868
2022/03/22,2.19231
2022/03/23,2.4
2022/03/24,2.29787
2022/03/25,2.23077
2022/03/26,2.24
2022/03/27,2.24
2022/03/28,2.31915
2022/03/29,2.15094
2022/03/30,2.16667
2022/03/31,2.21154
2022/04/01,2.37778
2022/04/02,2.30435
2022/04/03,2.19231
2022/04/04,2.19231
2022/04/05,2.16981
2022/04/06,2.21154
2022/04/07,2.16667
2022/04/08,2.16981
2022/04/09,2.12727
2022/04/10,2.23077
2022/04/11,2.46512
2022/04/12,2.125
2022/04/13,2.16667
2022/04/14,2.12963
2022/04/15,2.18868
2022/04/16,2.12963
2022/04/17,2.10526
2022/04/18,2.14286
2022/04/19,2.19231
2022/04/20,2.14545
2022/04/21,2.125
2022/04/22,2.08772
2022/04/23,2.10714
2022/04/24,2.12727
2022/04/25,2.18182
2022/04/26,2.14545
2022/04/27,2.16364
2022/04/28,2.12281
2022/04/29,2.14035
2022/04/30,2.12727
2022/05/01,2.12963
2022/05/02,2.2449
2022/05/03,2.16981
2022/05/04,2.10714
2022/05/05,2.12727
2022/05/06,2.10526
2022/05/07,2.14815
2022/05/08,2.125
2022/05/09,2.23077
2022/05/10,2.12281
2022/05/11,2.23529
2022/05/12,2.23529
2022/05/13,2.12727
2022/05/14,2.19608
2022/05/15,2.21569
2022/05/16,2.17647
2022/05/17,2.125
2022/05/18,2.0678
2022/05/19,2.125
2022/05/20,2.08475
2022/05/21,2.14545
2022/05/22,2.05
2022/05/23,2.12069
2022/05/24,2.14545
2022/05/25,2.12727
2022/05/26,2.16981
2022/05/27,2.19231
2022/05/28,2.10714
2022/05/29,2.16364
2022/05/30,2.14286
2022/05/31,2.08929
