Route Name:,(V040600)中清路二段(經貿一路~敦化路間)(向北) ~ (V040600)中清路二段(經貿一路~敦化路間)(向北)
Route Information:
Road Segment ID,Road Segment Name
V040600,中清路二段(經貿一路~敦化路間)(向北)

Daily Travel Time Index:
Date,TTI Value
2022/01/01,2.19231
2022/01/02,2.23529
2022/01/03,2.18519
2022/01/04,2.20755
2022/01/05,2.25
2022/01/06,2.66667
2022/01/07,2.19231
2022/01/08,2.75
2022/01/09,2.2037
2022/01/10,2.42222
2022/01/11,2.52381
2022/01/12,2.20755
2022/01/13,2.2549
2022/01/14,2.20755
2022/01/15,2.23077
2022/01/16,2.23077
2022/01/17,2.85714
2022/01/18,2.34043
2022/01/19,2.18868
2022/01/20,2.20755
2022/01/21,2.20755
2022/01/22,2.22
2022/01/23,2.16981
2022/01/24,2.23077
2022/01/25,2.18182
2022/01/26,2.18868
2022/01/27,2.20755
2022/01/28,2.25
2022/01/29,2.29167
2022/01/30,2.65789
2022/01/31,2.08772
2022/02/01,2.16981
2022/02/02,2.15094
2022/02/03,2.17857
2022/02/04,2.12727
2022/02/05,2.45455
2022/02/06,2.5
2022/02/07,2.2037
2022/02/08,2.26
2022/02/09,2.64103
2022/02/10,2.16071
2022/02/11,2.18519
2022/02/12,2.26
2022/02/13,2.26
2022/02/14,2.39535
2022/02/15,2.63158
2022/02/16,2.23077
2022/02/17,2.03636
2022/02/18,2.16364
2022/02/19,2.26531
2022/02/20,2.32609
2022/02/21,2.30435
2022/02/22,2.34783
2022/02/23,2.45238
2022/02/24,2.19231
2022/02/25,2.21154
2022/02/26,2.16667
2022/02/27,2.16667
2022/02/28,2.22642
2022/03/01,2.18519
2022/03/02,2.20755
2022/03/03,2.14286
2022/03/04,2.03448
2022/03/05,2.30612
2022/03/06,2.28
2022/03/07,2.85714
2022/03/08,2.45455
2022/03/09,2.18519
2022/03/10,2.28
2022/03/11,2.14035
2022/03/12,2.16364
2022/03/13,2.12281
2022/03/14,2.12069
2022/03/15,2.2549
2022/03/16,2.23077
2022/03/17,2.22642
2022/03/18,2.2549
2022/03/19,2.16071
2022/03/20,2.30612
2022/03/21,2.32653
2022/03/22,2.3125
2022/03/23,2.40909
2022/03/24,2.5641
2022/03/25,2.26
2022/03/26,2.28571
2022/03/27,2.23529
2022/03/28,2.46512
2022/03/29,2.47619
2022/03/30,2.42222
2022/03/31,2.3617
2022/04/01,2.62857
2022/04/02,2.34043
2022/04/03,2.22642
2022/04/04,2.16071
2022/04/05,2.11475
2022/04/06,2.23636
2022/04/07,3.06061
2022/04/08,2.27778
2022/04/09,2.30769
2022/04/10,2.15254
2022/04/11,2.5
2022/04/12,2.22807
2022/04/13,2.25
2022/04/14,2.3617
2022/04/15,3.27586
2022/04/16,3.03125
2022/04/17,2.46667
2022/04/18,2.17241
2022/04/19,2.86486
2022/04/20,2.28302
2022/04/21,2.23636
2022/04/22,2.61905
2022/04/23,3.125
2022/04/24,2.21429
2022/04/25,2.91667
2022/04/26,2.19298
2022/04/27,2.26415
2022/04/28,2.23636
2022/04/29,3.09375
2022/04/30,2.88889
2022/05/01,2.46809
2022/05/02,2.21818
2022/05/03,2.24074
2022/05/04,2.15517
2022/05/05,3.06061
2022/05/06,3.06061
2022/05/07,3.23333
2022/05/08,3.125
2022/05/09,2.16667
2022/05/10,2.13793
2022/05/11,2.26415
2022/05/12,2.23636
2022/05/13,2.31373
2022/05/14,2.16949
2022/05/15,2.19643
2022/05/16,2.36735
2022/05/17,2.15789
2022/05/18,2.17544
2022/05/19,2.15517
2022/05/20,3.23333
2022/05/21,2.13333
2022/05/22,2.15
2022/05/23,2.16949
2022/05/24,2.17241
2022/05/25,2.15789
2022/05/26,2.40426
2022/05/27,2.39583
2022/05/28,2.45652
2022/05/29,3.16129
2022/05/30,3.39286
2022/05/31,3
