Route Name:,(V040660)敦化路(后庄七街~中清路間)(向西) ~ (V003320)大鵬路(長安路~中清路間)(西東)
Route Information:,
Road Segment ID,Road Segment Name
V040660,敦化路(后庄七街~中清路間)(向西)
V040600,中清路二段(經貿一路~敦化路間)(向北)
V003340,中清路二段(經貿一路~大鵬路間)(向南)
V003320,大鵬路(長安路~中清路間)(西東)
,
Daily Travel Time Index:,
Date,TTI Value
2022/01/01,1.19328
2022/01/02,1.17909
2022/01/03,1.20468
2022/01/04,1.18969
2022/01/05,1.13615
2022/01/06,1.12815
2022/01/07,1.13514
2022/01/08,1.13376
2022/01/09,1.13339
2022/01/10,1.14051
2022/01/11,1.13468
2022/01/12,1.14211
2022/01/13,1.13288
2022/01/14,1.15235
2022/01/15,1.13397
2022/01/16,1.13578
2022/01/17,1.13424
2022/01/18,1.13829
2022/01/19,1.14367
2022/01/20,1.13757
2022/01/21,1.13198
2022/01/22,1.13537
2022/01/23,1.1345
2022/01/24,1.14039
2022/01/25,1.13774
2022/01/26,1.13964
2022/01/27,1.13659
2022/01/28,1.14476
2022/01/29,1.13461
2022/01/30,1.12412
2022/01/31,1.12913
2022/02/01,1.14567
2022/02/02,1.13373
2022/02/03,1.1417
2022/02/04,1.13973
2022/02/05,1.14187
2022/02/06,1.13682
2022/02/07,1.1412
2022/02/08,1.1336
2022/02/09,1.13027
2022/02/10,1.12551
2022/02/11,1.13072
2022/02/12,1.13617
2022/02/13,1.1327
2022/02/14,1.13406
2022/02/15,1.14556
2022/02/16,1.14182
2022/02/17,1.13326
2022/02/18,1.12876
2022/02/19,1.14124
2022/02/20,1.13102
2022/02/21,1.12123
2022/02/22,1.11647
2022/02/23,1.1375
2022/02/24,1.14709
2022/02/25,1.13251
2022/02/26,1.13127
2022/02/27,1.13582
2022/02/28,1.13412
2022/03/01,1.15486
2022/03/02,1.13502
2022/03/03,1.13003
2022/03/04,1.1358
2022/03/05,1.14139
2022/03/06,1.13651
2022/03/07,1.13119
2022/03/08,1.13306
2022/03/09,1.13598
2022/03/10,1.13526
2022/03/11,1.14474
2022/03/12,1.13487
2022/03/13,1.14437
2022/03/14,1.15025
2022/03/15,1.12182
2022/03/16,1.13668
2022/03/17,1.13065
2022/03/18,1.13612
2022/03/19,1.14077
2022/03/20,1.13488
2022/03/21,1.13579
2022/03/22,1.1413
2022/03/23,1.13964
2022/03/24,1.12864
2022/03/25,1.13438
2022/03/26,1.13918
2022/03/27,1.1389
2022/03/28,1.13138
2022/03/29,1.13091
2022/03/30,1.14309
2022/03/31,1.14728
2022/04/01,1.13558
2022/04/02,1.13456
2022/04/03,1.11227
2022/04/04,1.14124
2022/04/05,1.1383
2022/04/06,1.13977
2022/04/07,1.14186
2022/04/08,1.14519
2022/04/09,1.14563
2022/04/10,1.14458
2022/04/11,1.13884
2022/04/12,1.14132
2022/04/13,1.14815
2022/04/14,1.13888
2022/04/15,1.14191
2022/04/16,1.13808
2022/04/17,1.13558
2022/04/18,1.14471
2022/04/19,1.14259
2022/04/20,1.13443
2022/04/21,1.14229
2022/04/22,1.14866
2022/04/23,1.14647
2022/04/24,1.13626
2022/04/25,1.14375
2022/04/26,1.13938
2022/04/27,1.13628
2022/04/28,1.1456
2022/04/29,1.1374
2022/04/30,1.13388
2022/05/01,1.14578
2022/05/02,1.13004
2022/05/03,1.1383
2022/05/04,1.13883
2022/05/05,1.13423
2022/05/06,1.14787
2022/05/07,1.14159
2022/05/08,1.13938
2022/05/09,1.14542
2022/05/10,1.1334
2022/05/11,1.14465
2022/05/12,1.13141
2022/05/13,1.1374
2022/05/14,1.12774
2022/05/15,1.14283
2022/05/16,1.13395
2022/05/17,1.13456
2022/05/18,1.14108
2022/05/19,1.14093
2022/05/20,1.13585
2022/05/21,1.13403
2022/05/22,1.14624
2022/05/23,1.13905
2022/05/24,1.13295
2022/05/25,1.13025
2022/05/26,1.14366
2022/05/27,1.14165
2022/05/28,1.14066
2022/05/29,1.15627
2022/05/30,1.13908
2022/05/31,1.13767
