Route Name:,(V040660)敦化路(后庄七街~中清路間)(向西) ~ (V040600)中清路二段(經貿一路~敦化路間)(向北)
Route Information:
Road Segment ID,Road Segment Name
V040660,敦化路(后庄七街~中清路間)(向西)
V040600,中清路二段(經貿一路~敦化路間)(向北)

Daily Travel Time Index:
Date,TTI Value
2022/01/01,2.19231
2022/01/02,2.23529
2022/01/03,2.18518
2022/01/04,2.20755
2022/01/05,1.46498
2022/01/06,1.60197
2022/01/07,1.4631
2022/01/08,1.65435
2022/01/09,1.45409
2022/01/10,1.54172
2022/01/11,1.59612
2022/01/12,1.47239
2022/01/13,1.47135
2022/01/14,1.45357
2022/01/15,1.45567
2022/01/16,1.46229
2022/01/17,1.71967
2022/01/18,1.50844
2022/01/19,1.45718
2022/01/20,1.45995
2022/01/21,1.44707
2022/01/22,1.47206
2022/01/23,1.4418
2022/01/24,1.46879
2022/01/25,1.45195
2022/01/26,1.45088
2022/01/27,1.46622
2022/01/28,1.46498
2022/01/29,1.48782
2022/01/30,1.62886
2022/01/31,1.41079
2022/02/01,1.47242
2022/02/02,1.44534
2022/02/03,1.43421
2022/02/04,1.43184
2022/02/05,1.56159
2022/02/06,1.55263
2022/02/07,1.44775
2022/02/08,1.47113
2022/02/09,1.61639
2022/02/10,1.43176
2022/02/11,1.44517
2022/02/12,1.47793
2022/02/13,1.49119
2022/02/14,1.54539
2022/02/15,1.64226
2022/02/16,1.47519
2022/02/17,1.39427
2022/02/18,1.43082
2022/02/19,1.47089
2022/02/20,1.5059
2022/02/21,1.49545
2022/02/22,1.50903
2022/02/23,1.56198
2022/02/24,1.45029
2022/02/25,1.45955
2022/02/26,1.44253
2022/02/27,1.4548
2022/02/28,1.46266
2022/03/01,1.49797
2022/03/02,1.44047
2022/03/03,1.42312
2022/03/04,1.4207
2022/03/05,1.50428
2022/03/06,1.48755
2022/03/07,1.71967
2022/03/08,1.56159
2022/03/09,1.44517
2022/03/10,1.48078
2022/03/11,1.4361
2022/03/12,1.43707
2022/03/13,1.4157
2022/03/14,1.44542
2022/03/15,1.48451
2022/03/16,1.48148
2022/03/17,1.47525
2022/03/18,1.50343
2022/03/19,1.43787
2022/03/20,1.52398
2022/03/21,1.51405
2022/03/22,1.51838
2022/03/23,1.5398
2022/03/24,1.63779
2022/03/25,1.49119
2022/03/26,1.49451
2022/03/27,1.46189
2022/03/28,1.56351
2022/03/29,1.58109
2022/03/30,1.55637
2022/03/31,1.5327
2022/04/01,1.68255
2022/04/02,1.51555
2022/04/03,1.44964
2022/04/04,1.44388
2022/04/05,1.40879
2022/04/06,1.45971
2022/04/07,1.79683
2022/04/08,1.4897
2022/04/09,1.4993
2022/04/10,1.42264
2022/04/11,1.54498
2022/04/12,1.45448
2022/04/13,1.45
2022/04/14,1.4967
2022/04/15,1.89623
2022/04/16,1.75559
2022/04/17,1.53253
2022/04/18,1.43593
2022/04/19,1.67755
2022/04/20,1.47049
2022/04/21,1.44695
2022/04/22,1.61016
2022/04/23,1.79013
2022/04/24,1.43897
2022/04/25,1.72523
2022/04/26,1.44358
2022/04/27,1.48082
2022/04/28,1.46594
2022/04/29,1.81701
2022/04/30,1.69267
2022/05/01,1.56966
2022/05/02,1.46333
2022/05/03,1.45926
2022/05/04,1.43353
2022/05/05,1.75564
2022/05/06,1.79683
2022/05/07,1.89283
2022/05/08,1.80083
2022/05/09,1.42593
2022/05/10,1.42521
2022/05/11,1.48082
2022/05/12,1.45971
2022/05/13,1.47942
2022/05/14,1.41268
2022/05/15,1.41722
2022/05/16,1.52007
2022/05/17,1.42659
2022/05/18,1.45868
2022/05/19,1.45633
2022/05/20,1.83815
2022/05/21,1.4156
2022/05/22,1.43514
2022/05/23,1.4482
2022/05/24,1.44184
2022/05/25,1.44451
2022/05/26,1.53909
2022/05/27,1.54468
2022/05/28,1.53914
2022/05/29,1.83279
2022/05/30,1.88572
2022/05/31,1.73341
