Route Name:,(V040660)敦化路(后庄七街~中清路間)(向西) ~ (V040660)敦化路(后庄七街~中清路間)(向西)
Route Information:
Road Segment ID,Road Segment Name
V040660,敦化路(后庄七街~中清路間)(向西)

Daily Travel Time Index:
Date,TTI Value
2022/01/01,0
2022/01/02,0
2022/01/03,0
2022/01/04,0
2022/01/05,2.12821
2022/01/06,2.07692
2022/01/07,2.21622
2022/01/08,2.10256
2022/01/09,2.07143
2022/01/10,2.125
2022/01/11,2.14634
2022/01/12,2.23684
2022/01/13,2.1
2022/01/14,2.12821
2022/01/15,2.075
2022/01/16,2.12821
2022/01/17,2.27027
2022/01/18,2.18919
2022/01/19,2.125
2022/01/20,2.18421
2022/01/21,2.19444
2022/01/22,2.29412
2022/01/23,2.10256
2022/01/24,2.125
2022/01/25,2.21053
2022/01/26,2.15789
2022/01/27,2.21053
2022/01/28,2.22222
2022/01/29,2.16216
2022/01/30,2.18919
2022/01/31,2.13158
2022/02/01,2.23077
2022/02/02,2.1
2022/02/03,2.22222
2022/02/04,2.18919
2022/02/05,2.27778
2022/02/06,2.13513
2022/02/07,2.1
2022/02/08,2.16216
2022/02/09,2.15789
2022/02/10,2.18919
2022/02/11,2.22222
2022/02/12,2.15789
2022/02/13,2.31429
2022/02/14,2.33333
2022/02/15,2.17949
2022/02/16,2.17949
2022/02/17,2.11111
2022/02/18,2.30303
2022/02/19,2.27273
2022/02/20,2.30303
2022/02/21,2.2
2022/02/22,2.16216
2022/02/23,2.33333
2022/02/24,2.19444
2022/02/25,2.15789
2022/02/26,2.18919
2022/02/27,2.17949
2022/02/28,2.28571
2022/03/01,2.43243
2022/03/02,2.07692
2022/03/03,2.19444
2022/03/04,2.27027
2022/03/05,2.4375
2022/03/06,2.28571
2022/03/07,2.27027
2022/03/08,2.24324
2022/03/09,2.15789
2022/03/10,2.22222
2022/03/11,2.21053
2022/03/12,2.33333
2022/03/13,2.13158
2022/03/14,2.28947
2022/03/15,2.17949
2022/03/16,2.23684
2022/03/17,2.20513
2022/03/18,2.225
2022/03/19,2.28571
2022/03/20,2.28947
2022/03/21,2.14634
2022/03/22,2.20513
2022/03/23,2.29412
2022/03/24,2.37143
2022/03/25,2.21053
2022/03/26,2.5
2022/03/27,2.10256
2022/03/28,2.25
2022/03/29,2.24324
2022/03/30,2.20513
2022/03/31,2.20513
2022/04/01,2.27027
2022/04/02,2.32353
2022/04/03,2.26471
2022/04/04,2.15
2022/04/05,2.25
2022/04/06,2.17949
2022/04/07,2.28947
2022/04/08,2.19512
2022/04/09,2.2973
2022/04/10,2.18421
2022/04/11,2.18421
2022/04/12,2.175
2022/04/13,2.15385
2022/04/14,2
2022/04/15,2.25641
2022/04/16,2.12821
2022/04/17,2.04878
2022/04/18,2.21053
2022/04/19,2.125
2022/04/20,2.15385
2022/04/21,2.22222
2022/04/22,2.23684
2022/04/23,2.17949
2022/04/24,2.07317
2022/04/25,2.23077
2022/04/26,2.17949
2022/04/27,2.175
2022/04/28,2.20513
2022/04/29,2.225
2022/04/30,2.21622
2022/05/01,2.28205
2022/05/02,2.38235
2022/05/03,2.15385
2022/05/04,2.24324
2022/05/05,2.09756
2022/05/06,2.25641
2022/05/07,2.37838
2022/05/08,2.20513
2022/05/09,2.17949
2022/05/10,2.18421
2022/05/11,2.30556
2022/05/12,2.17949
2022/05/13,2.25714
2022/05/14,2.16216
2022/05/15,2.17143
2022/05/16,2.27027
2022/05/17,2.18919
2022/05/18,2.225
2022/05/19,2.35135
2022/05/20,2.15
2022/05/21,2.18421
2022/05/22,2.26316
2022/05/23,2.28947
2022/05/24,2.23684
2022/05/25,2.14634
2022/05/26,2.27027
2022/05/27,2.44118
2022/05/28,2.25
2022/05/29,2.14286
2022/05/30,2.125
2022/05/31,2.15385
