Road Segment ID,V003320,Road Segment Name,大鵬路(長安路~中清路間)(西東)
Date and Time,Average Speed (km\h),Traffic Volume
2022/10/01 0000,25,12
2022/10/01 0100,31,101
2022/10/01 0200,31,78
2022/10/01 0300,32,50
2022/10/01 0400,36,58
2022/10/01 0500,33,61
2022/10/01 0600,36,75
2022/10/01 0700,34,188
2022/10/01 0800,33,296
2022/10/01 0900,33,309
2022/10/01 1000,33,323
2022/10/01 1100,31,310
2022/10/01 1200,31,348
2022/10/01 1300,32,403
2022/10/01 1400,33,318
2022/10/01 1500,32,280
2022/10/01 1600,33,345
2022/10/01 1700,32,400
2022/10/01 1800,32,344
2022/10/01 1900,32,340
2022/10/01 2000,32,328
2022/10/01 2100,30,272
2022/10/01 2200,32,284
2022/10/01 2300,32,217
2022/10/02 0000,33,148
2022/10/02 0100,33,100
2022/10/02 0200,37,76
2022/10/02 0300,35,64
2022/10/02 0400,35,51
2022/10/02 0500,36,68
2022/10/02 0600,35,95
2022/10/02 0700,32,154
2022/10/02 0800,32,192
2022/10/02 0900,31,230
2022/10/02 1000,32,268
2022/10/02 1100,32,304
2022/10/02 1200,34,361
2022/10/02 1300,32,334
2022/10/02 1400,34,337
2022/10/02 1500,34,275
2022/10/02 1600,33,308
2022/10/02 1700,33,326
2022/10/02 1800,33,353
2022/10/02 1900,33,367
2022/10/02 2000,31,312
2022/10/02 2100,32,314
2022/10/02 2200,30,244
2022/10/02 2300,35,164
2022/10/03 0000,30,91
2022/10/03 0100,38,67
2022/10/03 0200,37,44
2022/10/03 0300,41,37
2022/10/03 0400,39,29
2022/10/03 0500,40,27
2022/10/03 0600,38,65
2022/10/03 0700,34,153
2022/10/03 0800,35,302
2022/10/03 0900,35,353
2022/10/03 1000,35,283
2022/10/03 1100,34,327
2022/10/03 1200,30,320
2022/10/03 1300,34,341
2022/10/03 1400,34,320
2022/10/03 1500,34,331
2022/10/03 1600,34,389
2022/10/03 1700,32,358
2022/10/03 1800,34,396
2022/10/03 1900,35,345
2022/10/03 2000,33,339
2022/10/03 2100,31,269
2022/10/03 2200,32,259
2022/10/03 2300,31,179
2022/10/04 0000,31,122
2022/10/04 0100,35,74
2022/10/04 0200,36,43
2022/10/04 0300,39,48
2022/10/04 0400,34,41
2022/10/04 0500,39,46
2022/10/04 0600,40,78
2022/10/04 0700,35,217
2022/10/04 0800,35,342
2022/10/04 0900,31,342
2022/10/04 1000,32,360
2022/10/04 1100,32,367
2022/10/04 1200,33,418
2022/10/04 1300,33,395
2022/10/04 1400,33,282
2022/10/04 1500,31,348
2022/10/04 1600,32,382
2022/10/04 1700,33,405
2022/10/04 1800,33,361
2022/10/04 1900,37,308
2022/10/04 2000,33,305
2022/10/04 2100,31,246
2022/10/04 2200,27,58
2022/10/04 2300,0,0
2022/10/05 0000,0,0
2022/10/05 0100,0,0
2022/10/05 0200,0,0
2022/10/05 0300,0,0
2022/10/05 0400,0,0
2022/10/05 0500,0,0
2022/10/05 0600,0,0
2022/10/05 0700,0,0
2022/10/05 0800,0,0
2022/10/05 0900,0,0
2022/10/05 1000,33,224
2022/10/05 1100,32,301
2022/10/05 1200,33,355
2022/10/05 1300,34,375
2022/10/05 1400,34,381
2022/10/05 1500,34,314
2022/10/05 1600,34,357
2022/10/05 1700,32,359
2022/10/05 1800,33,348
2022/10/05 1900,35,331
2022/10/05 2000,32,312
2022/10/05 2100,31,280
2022/10/05 2200,31,251
2022/10/05 2300,30,190
2022/10/06 0000,29,128
2022/10/06 0100,33,96
2022/10/06 0200,33,54
2022/10/06 0300,36,49
2022/10/06 0400,35,37
2022/10/06 0500,37,38
2022/10/06 0600,36,74
2022/10/06 0700,35,195
2022/10/06 0800,32,327
2022/10/06 0900,34,306
2022/10/06 1000,33,347
2022/10/06 1100,35,316
2022/10/06 1200,34,315
2022/10/06 1300,34,367
2022/10/06 1400,35,332
2022/10/06 1500,34,332
2022/10/06 1600,33,362
2022/10/06 1700,34,362
2022/10/06 1800,36,310
2022/10/06 1900,33,354
2022/10/06 2000,35,307
2022/10/06 2100,31,298
2022/10/06 2200,32,284
2022/10/06 2300,32,216
2022/10/07 0000,32,114
2022/10/07 0100,33,73
2022/10/07 0200,38,71
2022/10/07 0300,36,49
2022/10/07 0400,38,52
2022/10/07 0500,35,52
2022/10/07 0600,39,83
2022/10/07 0700,33,223
2022/10/07 0800,32,301
2022/10/07 0900,35,314
2022/10/07 1000,35,334
2022/10/07 1100,36,329
2022/10/07 1200,34,384
2022/10/07 1300,34,332
2022/10/07 1400,35,358
2022/10/07 1500,33,352
2022/10/07 1600,33,350
2022/10/07 1700,33,281
2022/10/07 1800,34,326
2022/10/07 1900,32,341
2022/10/07 2000,33,379
2022/10/07 2100,34,378
2022/10/07 2200,32,308
2022/10/07 2300,31,262
2022/10/08 0000,33,163
2022/10/08 0100,32,109
2022/10/08 0200,35,85
2022/10/08 0300,40,53
2022/10/08 0400,38,44
2022/10/08 0500,35,49
2022/10/08 0600,35,100
2022/10/08 0700,31,186
2022/10/08 0800,34,244
2022/10/08 0900,31,280
2022/10/08 1000,35,339
2022/10/08 1100,31,333
2022/10/08 1200,32,286
2022/10/08 1300,33,319
2022/10/08 1400,32,331
2022/10/08 1500,32,241
2022/10/08 1600,32,306
2022/10/08 1700,32,279
2022/10/08 1800,30,278
2022/10/08 1900,33,266
2022/10/08 2000,33,293
2022/10/08 2100,32,309
2022/10/08 2200,31,279
2022/10/08 2300,32,225
2022/10/09 0000,32,123
2022/10/09 0100,31,105
2022/10/09 0200,35,60
2022/10/09 0300,36,40
2022/10/09 0400,38,54
2022/10/09 0500,40,62
2022/10/09 0600,37,95
2022/10/09 0700,34,160
2022/10/09 0800,35,193
2022/10/09 0900,31,203
2022/10/09 1000,33,272
2022/10/09 1100,32,260
2022/10/09 1200,32,335
2022/10/09 1300,33,311
2022/10/09 1400,33,267
2022/10/09 1500,32,258
2022/10/09 1600,33,234
2022/10/09 1700,31,297
2022/10/09 1800,32,283
2022/10/09 1900,34,265
2022/10/09 2000,31,302
2022/10/09 2100,31,256
2022/10/09 2200,32,284
2022/10/09 2300,34,254
2022/10/10 0000,30,155
2022/10/10 0100,33,92
2022/10/10 0200,39,83
2022/10/10 0300,39,40
2022/10/10 0400,38,37
2022/10/10 0500,35,45
2022/10/10 0600,36,65
2022/10/10 0700,32,129
2022/10/10 0800,36,181
2022/10/10 0900,36,227
2022/10/10 1000,35,300
2022/10/10 1100,35,302
2022/10/10 1200,34,349
2022/10/10 1300,34,343
2022/10/10 1400,33,334
2022/10/10 1500,35,318
2022/10/10 1600,32,306
2022/10/10 1700,32,342
2022/10/10 1800,35,394
2022/10/10 1900,33,322
2022/10/10 2000,33,384
2022/10/10 2100,32,300
2022/10/10 2200,32,270
2022/10/10 2300,33,184
2022/10/11 0000,34,128
2022/10/11 0100,33,102
2022/10/11 0200,34,51
2022/10/11 0300,38,49
2022/10/11 0400,41,45
2022/10/11 0500,36,33
2022/10/11 0600,40,93
2022/10/11 0700,33,201
2022/10/11 0800,32,320
2022/10/11 0900,34,307
2022/10/11 1000,31,332
2022/10/11 1100,34,309
2022/10/11 1200,34,350
2022/10/11 1300,35,338
2022/10/11 1400,33,307
2022/10/11 1500,34,343
2022/10/11 1600,33,397
2022/10/11 1700,35,415
2022/10/11 1800,34,389
2022/10/11 1900,36,312
2022/10/11 2000,36,320
2022/10/11 2100,34,266
2022/10/11 2200,30,284
2022/10/11 2300,31,186
2022/10/12 0000,29,131
2022/10/12 0100,34,82
2022/10/12 0200,41,44
2022/10/12 0300,40,57
2022/10/12 0400,40,42
2022/10/12 0500,37,49
2022/10/12 0600,36,51
2022/10/12 0700,32,202
2022/10/12 0800,34,308
2022/10/12 0900,34,319
2022/10/12 1000,32,277
2022/10/12 1100,32,326
2022/10/12 1200,32,365
2022/10/12 1300,35,369
2022/10/12 1400,33,305
2022/10/12 1500,37,288
2022/10/12 1600,33,310
2022/10/12 1700,31,344
2022/10/12 1800,34,422
2022/10/12 1900,34,328
2022/10/12 2000,32,302
2022/10/12 2100,31,293
2022/10/12 2200,32,276
2022/10/12 2300,32,185
2022/10/13 0000,35,103
2022/10/13 0100,33,50
2022/10/13 0200,40,38
2022/10/13 0300,36,43
2022/10/13 0400,36,29
2022/10/13 0500,34,51
2022/10/13 0600,39,83
2022/10/13 0700,35,188
2022/10/13 0800,36,309
2022/10/13 0900,33,295
2022/10/13 1000,34,317
2022/10/13 1100,33,308
2022/10/13 1200,33,336
2022/10/13 1300,33,367
2022/10/13 1400,32,303
2022/10/13 1500,32,281
2022/10/13 1600,32,338
2022/10/13 1700,33,336
2022/10/13 1800,31,371
2022/10/13 1900,33,327
2022/10/13 2000,33,289
2022/10/13 2100,33,277
2022/10/13 2200,30,266
2022/10/13 2300,32,185
2022/10/14 0000,34,114
2022/10/14 0100,40,103
2022/10/14 0200,42,41
2022/10/14 0300,36,45
2022/10/14 0400,34,41
2022/10/14 0500,36,38
2022/10/14 0600,36,75
2022/10/14 0700,32,236
2022/10/14 0800,35,323
2022/10/14 0900,32,304
2022/10/14 1000,31,310
2022/10/14 1100,31,327
2022/10/14 1200,35,366
2022/10/14 1300,32,354
2022/10/14 1400,31,351
2022/10/14 1500,33,281
2022/10/14 1600,32,387
2022/10/14 1700,31,371
2022/10/14 1800,31,274
2022/10/14 1900,30,388
2022/10/14 2000,33,354
2022/10/14 2100,33,295
2022/10/14 2200,33,311
2022/10/14 2300,32,252
2022/10/15 0000,32,170
2022/10/15 0100,33,113
2022/10/15 0200,34,67
2022/10/15 0300,37,52
2022/10/15 0400,37,57
2022/10/15 0500,32,45
2022/10/15 0600,37,98
2022/10/15 0700,32,173
2022/10/15 0800,32,237
2022/10/15 0900,32,287
2022/10/15 1000,34,359
2022/10/15 1100,29,360
2022/10/15 1200,33,412
2022/10/15 1300,32,381
2022/10/15 1400,34,436
2022/10/15 1500,34,352
2022/10/15 1600,34,337
2022/10/15 1700,30,343
2022/10/15 1800,33,258
2022/10/15 1900,33,367
2022/10/15 2000,32,256
2022/10/15 2100,33,280
2022/10/15 2200,32,293
2022/10/15 2300,31,292
2022/10/16 0000,30,167
2022/10/16 0100,31,124
2022/10/16 0200,34,64
2022/10/16 0300,36,55
2022/10/16 0400,39,51
2022/10/16 0500,37,68
2022/10/16 0600,36,88
2022/10/16 0700,33,157
2022/10/16 0800,32,191
2022/10/16 0900,39,287
2022/10/16 1000,37,373
2022/10/16 1100,37,351
2022/10/16 1200,37,418
2022/10/16 1300,34,416
2022/10/16 1400,32,349
2022/10/16 1500,32,327
2022/10/16 1600,33,284
2022/10/16 1700,34,275
2022/10/16 1800,34,322
2022/10/16 1900,33,322
2022/10/16 2000,32,316
2022/10/16 2100,33,260
2022/10/16 2200,30,281
2022/10/16 2300,33,210
2022/10/17 0000,34,115
2022/10/17 0100,33,81
2022/10/17 0200,39,50
2022/10/17 0300,40,28
2022/10/17 0400,46,19
2022/10/17 0500,40,24
2022/10/17 0600,37,64
2022/10/17 0700,34,188
2022/10/17 0800,33,294
2022/10/17 0900,31,310
2022/10/17 1000,30,273
2022/10/17 1100,34,284
2022/10/17 1200,33,349
2022/10/17 1300,34,356
2022/10/17 1400,33,320
2022/10/17 1500,32,331
2022/10/17 1600,32,378
2022/10/17 1700,32,348
2022/10/17 1800,34,338
2022/10/17 1900,33,360
2022/10/17 2000,34,355
2022/10/17 2100,32,292
2022/10/17 2200,31,290
2022/10/17 2300,31,158
2022/10/18 0000,35,138
2022/10/18 0100,39,98
2022/10/18 0200,40,48
2022/10/18 0300,40,39
2022/10/18 0400,39,27
2022/10/18 0500,35,37
2022/10/18 0600,37,95
2022/10/18 0700,34,201
2022/10/18 0800,35,326
2022/10/18 0900,34,320
2022/10/18 1000,32,320
2022/10/18 1100,32,310
2022/10/18 1200,34,351
2022/10/18 1300,31,323
2022/10/18 1400,33,351
2022/10/18 1500,33,296
2022/10/18 1600,32,326
2022/10/18 1700,33,368
2022/10/18 1800,32,347
2022/10/18 1900,36,362
2022/10/18 2000,33,304
2022/10/18 2100,30,299
2022/10/18 2200,34,273
2022/10/18 2300,34,206
2022/10/19 0000,36,131
2022/10/19 0100,35,70
2022/10/19 0200,37,55
2022/10/19 0300,37,41
2022/10/19 0400,40,43
2022/10/19 0500,37,50
2022/10/19 0600,39,67
2022/10/19 0700,31,190
2022/10/19 0800,33,325
2022/10/19 0900,34,294
2022/10/19 1000,33,284
2022/10/19 1100,31,309
2022/10/19 1200,31,328
2022/10/19 1300,32,395
2022/10/19 1400,34,324
2022/10/19 1500,33,345
2022/10/19 1600,33,310
2022/10/19 1700,33,316
2022/10/19 1800,37,291
2022/10/19 1900,35,307
2022/10/19 2000,33,338
2022/10/19 2100,31,277
2022/10/19 2200,34,273
2022/10/19 2300,32,197
2022/10/20 0000,34,110
2022/10/20 0100,36,92
2022/10/20 0200,34,54
2022/10/20 0300,34,42
2022/10/20 0400,39,29
2022/10/20 0500,39,35
2022/10/20 0600,32,88
2022/10/20 0700,31,177
2022/10/20 0800,34,319
2022/10/20 0900,34,310
