Road Segment ID,V003340V,Road Segment Name,
Date and Time,Average Speed (km\h),Traffic Volume
2022/06/01 0000,71,7
2022/06/01 0100,61,131
2022/06/01 0200,62,87
2022/06/01 0300,62,81
2022/06/01 0400,60,80
2022/06/01 0500,61,107
2022/06/01 0600,59,157
2022/06/01 0700,61,338
2022/06/01 0800,59,692
2022/06/01 0900,58,633
2022/06/01 1000,58,707
2022/06/01 1100,57,677
2022/06/01 1200,59,658
2022/06/01 1300,60,698
2022/06/01 1400,58,766
2022/06/01 1500,58,812
2022/06/01 1600,58,638
2022/06/01 1700,58,734
2022/06/01 1800,55,697
2022/06/01 1900,58,784
2022/06/01 2000,60,568
2022/06/01 2100,60,548
2022/06/01 2200,58,523
2022/06/01 2300,62,303
2022/06/02 0000,63,213
2022/06/02 0100,59,177
2022/06/02 0200,60,132
2022/06/02 0300,62,108
2022/06/02 0400,59,87
2022/06/02 0500,61,125
2022/06/02 0600,58,191
2022/06/02 0700,61,290
2022/06/02 0800,59,634
2022/06/02 0900,57,609
2022/06/02 1000,59,564
2022/06/02 1100,57,634
2022/06/02 1200,58,696
2022/06/02 1300,59,649
2022/06/02 1400,59,628
2022/06/02 1500,56,820
2022/06/02 1600,58,763
2022/06/02 1700,58,729
2022/06/02 1800,41,820
2022/06/02 1900,47,767
2022/06/02 2000,57,685
2022/06/02 2100,59,550
2022/06/02 2200,59,534
2022/06/02 2300,60,362
2022/06/03 0000,62,248
2022/06/03 0100,61,153
2022/06/03 0200,58,176
2022/06/03 0300,61,131
2022/06/03 0400,61,110
2022/06/03 0500,60,120
2022/06/03 0600,57,185
2022/06/03 0700,59,258
2022/06/03 0800,58,306
2022/06/03 0900,59,434
2022/06/03 1000,60,448
2022/06/03 1100,59,587
2022/06/03 1200,57,647
2022/06/03 1300,58,558
2022/06/03 1400,60,568
2022/06/03 1500,60,607
2022/06/03 1600,59,627
2022/06/03 1700,58,696
2022/06/03 1800,58,679
2022/06/03 1900,58,647
2022/06/03 2000,58,564
2022/06/03 2100,60,525
2022/06/03 2200,60,402
2022/06/03 2300,63,332
2022/06/04 0000,63,259
2022/06/04 0100,61,259
2022/06/04 0200,61,143
2022/06/04 0300,62,152
2022/06/04 0400,60,121
2022/06/04 0500,62,129
2022/06/04 0600,58,198
2022/06/04 0700,61,277
2022/06/04 0800,60,348
2022/06/04 0900,59,459
2022/06/04 1000,59,600
2022/06/04 1100,57,746
2022/06/04 1200,53,760
2022/06/04 1300,55,625
2022/06/04 1400,58,726
2022/06/04 1500,57,827
2022/06/04 1600,55,666
2022/06/04 1700,52,716
2022/06/04 1800,54,788
2022/06/04 1900,54,563
2022/06/04 2000,58,553
2022/06/04 2100,60,551
2022/06/04 2200,60,510
2022/06/04 2300,63,316
2022/06/05 0000,64,235
2022/06/05 0100,62,257
2022/06/05 0200,61,165
2022/06/05 0300,62,136
2022/06/05 0400,61,131
2022/06/05 0500,62,124
2022/06/05 0600,59,170
2022/06/05 0700,61,172
2022/06/05 0800,62,251
2022/06/05 0900,61,352
2022/06/05 1000,60,403
2022/06/05 1100,57,525
2022/06/05 1200,58,580
2022/06/05 1300,59,570
2022/06/05 1400,58,656
2022/06/05 1500,59,603
2022/06/05 1600,58,618
2022/06/05 1700,56,655
2022/06/05 1800,56,611
2022/06/05 1900,55,592
2022/06/05 2000,58,676
2022/06/05 2100,59,511
2022/06/05 2200,62,464
2022/06/05 2300,63,374
2022/06/06 0000,64,263
2022/06/06 0100,61,174
2022/06/06 0200,63,95
2022/06/06 0300,59,94
2022/06/06 0400,63,69
2022/06/06 0500,59,71
2022/06/06 0600,56,115
2022/06/06 0700,61,266
2022/06/06 0800,58,701
2022/06/06 0900,57,721
2022/06/06 1000,57,616
2022/06/06 1100,57,608
2022/06/06 1200,58,577
2022/06/06 1300,58,586
2022/06/06 1400,55,715
2022/06/06 1500,54,885
2022/06/06 1600,57,736
2022/06/06 1700,53,914
2022/06/06 1800,55,859
2022/06/06 1900,55,721
2022/06/06 2000,57,616
2022/06/06 2100,61,553
2022/06/06 2200,60,490
2022/06/06 2300,58,395
2022/06/07 0000,64,229
2022/06/07 0100,61,159
2022/06/07 0200,59,150
2022/06/07 0300,58,99
2022/06/07 0400,61,105
2022/06/07 0500,60,98
2022/06/07 0600,59,185
2022/06/07 0700,60,301
2022/06/07 0800,57,786
2022/06/07 0900,56,722
2022/06/07 1000,54,774
2022/06/07 1100,56,666
2022/06/07 1200,54,681
2022/06/07 1300,55,656
2022/06/07 1400,53,755
2022/06/07 1500,52,706
2022/06/07 1600,52,979
2022/06/07 1700,54,753
2022/06/07 1800,54,797
2022/06/07 1900,55,681
2022/06/07 2000,59,579
2022/06/07 2100,59,623
2022/06/07 2200,57,429
2022/06/07 2300,60,358
2022/06/08 0000,61,219
2022/06/08 0100,57,184
2022/06/08 0200,57,126
2022/06/08 0300,58,83
2022/06/08 0400,58,105
2022/06/08 0500,58,98
2022/06/08 0600,60,166
2022/06/08 0700,60,260
2022/06/08 0800,55,683
2022/06/08 0900,51,905
2022/06/08 1000,55,713
2022/06/08 1100,56,736
2022/06/08 1200,54,767
2022/06/08 1300,54,673
2022/06/08 1400,53,840
2022/06/08 1500,55,875
2022/06/08 1600,53,949
2022/06/08 1700,51,774
2022/06/08 1800,53,851
2022/06/08 1900,47,891
2022/06/08 2000,54,815
2022/06/08 2100,56,696
2022/06/08 2200,56,588
2022/06/08 2300,60,356
2022/06/09 0000,63,250
2022/06/09 0100,58,221
2022/06/09 0200,60,125
2022/06/09 0300,61,108
2022/06/09 0400,60,100
2022/06/09 0500,57,130
2022/06/09 0600,57,169
2022/06/09 0700,60,330
2022/06/09 0800,60,685
2022/06/09 0900,54,805
2022/06/09 1000,57,745
2022/06/09 1100,58,643
2022/06/09 1200,57,753
2022/06/09 1300,59,636
2022/06/09 1400,58,783
2022/06/09 1500,57,819
2022/06/09 1600,56,758
2022/06/09 1700,56,743
2022/06/09 1800,53,1081
2022/06/09 1900,54,811
2022/06/09 2000,57,715
2022/06/09 2100,60,611
2022/06/09 2200,60,522
2022/06/09 2300,63,313
2022/06/10 0000,64,204
2022/06/10 0100,60,158
2022/06/10 0200,62,126
2022/06/10 0300,61,97
2022/06/10 0400,60,125
2022/06/10 0500,58,118
2022/06/10 0600,59,139
2022/06/10 0700,60,344
2022/06/10 0800,56,755
2022/06/10 0900,53,830
2022/06/10 1000,59,628
2022/06/10 1100,57,760
2022/06/10 1200,58,685
2022/06/10 1300,58,662
2022/06/10 1400,58,792
2022/06/10 1500,57,650
2022/06/10 1600,57,733
2022/06/10 1700,56,730
2022/06/10 1800,54,798
2022/06/10 1900,56,666
2022/06/10 2000,58,770
2022/06/10 2100,58,569
2022/06/10 2200,58,505
2022/06/10 2300,61,329
2022/06/11 0000,60,248
2022/06/11 0100,60,251
2022/06/11 0200,58,185
2022/06/11 0300,60,112
2022/06/11 0400,59,130
2022/06/11 0500,59,128
2022/06/11 0600,58,156
2022/06/11 0700,61,265
2022/06/11 0800,60,419
2022/06/11 0900,55,563
2022/06/11 1000,55,717
2022/06/11 1100,55,595
2022/06/11 1200,57,816
2022/06/11 1300,57,633
2022/06/11 1400,56,672
2022/06/11 1500,56,592
2022/06/11 1600,57,709
2022/06/11 1700,54,801
2022/06/11 1800,53,687
2022/06/11 1900,51,784
2022/06/11 2000,55,683
2022/06/11 2100,55,727
2022/06/11 2200,57,677
2022/06/11 2300,57,390
2022/06/12 0000,60,304
2022/06/12 0100,58,302
2022/06/12 0200,57,189
2022/06/12 0300,57,148
2022/06/12 0400,57,137
2022/06/12 0500,60,150
2022/06/12 0600,58,200
2022/06/12 0700,61,222
2022/06/12 0800,62,274
2022/06/12 0900,59,375
2022/06/12 1000,59,428
2022/06/12 1100,59,542
2022/06/12 1200,59,561
2022/06/12 1300,58,569
2022/06/12 1400,59,600
2022/06/12 1500,60,672
2022/06/12 1600,58,718
2022/06/12 1700,56,666
2022/06/12 1800,56,806
2022/06/12 1900,57,677
2022/06/12 2000,58,682
2022/06/12 2100,60,526
2022/06/12 2200,62,501
2022/06/12 2300,62,368
2022/06/13 0000,65,252
2022/06/13 0100,61,165
2022/06/13 0200,60,141
2022/06/13 0300,62,113
2022/06/13 0400,60,86
2022/06/13 0500,61,99
2022/06/13 0600,56,135
2022/06/13 0700,61,285
2022/06/13 0800,57,560
2022/06/13 0900,57,627
2022/06/13 1000,58,661
2022/06/13 1100,57,629
2022/06/13 1200,59,583
2022/06/13 1300,60,611
2022/06/13 1400,58,702
2022/06/13 1500,58,728
2022/06/13 1600,59,772
2022/06/13 1700,58,774
2022/06/13 1800,57,840
2022/06/13 1900,58,703
2022/06/13 2000,60,592
2022/06/13 2100,60,514
2022/06/13 2200,61,404
2022/06/13 2300,62,302
2022/06/14 0000,62,194
2022/06/14 0100,60,190
2022/06/14 0200,60,117
2022/06/14 0300,60,87
2022/06/14 0400,61,119
2022/06/14 0500,59,111
2022/06/14 0600,59,196
2022/06/14 0700,60,328
2022/06/14 0800,57,596
2022/06/14 0900,57,801
2022/06/14 1000,58,688
2022/06/14 1100,59,679
2022/06/14 1200,58,639
2022/06/14 1300,59,693
2022/06/14 1400,59,636
2022/06/14 1500,58,737
2022/06/14 1600,58,807
2022/06/14 1700,57,792
2022/06/14 1800,57,680
2022/06/14 1900,57,697
2022/06/14 2000,59,663
2022/06/14 2100,61,471
2022/06/14 2200,60,392
2022/06/14 2300,63,280
2022/06/15 0000,64,167
2022/06/15 0100,61,137
2022/06/15 0200,60,113
2022/06/15 0300,62,111
2022/06/15 0400,59,101
2022/06/15 0500,58,113
2022/06/15 0600,58,172
2022/06/15 0700,61,328
2022/06/15 0800,59,666
2022/06/15 0900,57,793
2022/06/15 1000,58,745
2022/06/15 1100,55,824
2022/06/15 1200,58,758
2022/06/15 1300,59,723
2022/06/15 1400,57,830
2022/06/15 1500,57,871
2022/06/15 1600,59,722
2022/06/15 1700,54,904
2022/06/15 1800,53,836
2022/06/15 1900,57,711
2022/06/15 2000,58,604
2022/06/15 2100,59,545
2022/06/15 2200,61,482
2022/06/15 2300,61,309
2022/06/16 0000,61,256
2022/06/16 0100,60,205
2022/06/16 0200,59,120
2022/06/16 0300,61,125
2022/06/16 0400,61,115
2022/06/16 0500,60,115
2022/06/16 0600,57,184
2022/06/16 0700,62,305
2022/06/16 0800,58,630
2022/06/16 0900,50,774
2022/06/16 1000,56,529
2022/06/16 1100,58,548
2022/06/16 1200,59,633
2022/06/16 1300,58,656
2022/06/16 1400,57,690
2022/06/16 1500,56,642
2022/06/16 1600,57,731
2022/06/16 1700,57,797
2022/06/16 1800,58,710
2022/06/16 1900,56,708
2022/06/16 2000,59,647
2022/06/16 2100,60,546
2022/06/16 2200,60,510
2022/06/16 2300,62,297
2022/06/17 0000,63,221
2022/06/17 0100,59,186
2022/06/17 0200,61,120
2022/06/17 0300,61,132
2022/06/17 0400,62,105
2022/06/17 0500,61,127
2022/06/17 0600,57,167
2022/06/17 0700,59,331
2022/06/17 0800,60,662
2022/06/17 0900,57,721
2022/06/17 1000,59,717
2022/06/17 1100,56,732
2022/06/17 1200,57,718
2022/06/17 1300,59,706
2022/06/17 1400,58,788
2022/06/17 1500,57,823
2022/06/17 1600,57,892
2022/06/17 1700,56,922
2022/06/17 1800,57,848
2022/06/17 1900,56,1011
2022/06/17 2000,57,865
2022/06/17 2100,59,684
2022/06/17 2200,60,594
2022/06/17 2300,62,438
2022/06/18 0000,63,340
2022/06/18 0100,58,265
2022/06/18 0200,60,202
2022/06/18 0300,63,124
2022/06/18 0400,59,137
2022/06/18 0500,60,146
2022/06/18 0600,58,227
2022/06/18 0700,62,365
2022/06/18 0800,59,589
2022/06/18 0900,59,651
2022/06/18 1000,57,669
2022/06/18 1100,56,675
2022/06/18 1200,57,788
2022/06/18 1300,57,640
2022/06/18 1400,57,682
2022/06/18 1500,57,719
2022/06/18 1600,57,613
2022/06/18 1700,54,572
2022/06/18 1800,55,696
2022/06/18 1900,55,609
2022/06/18 2000,57,561
2022/06/18 2100,60,575
2022/06/18 2200,61,469
2022/06/18 2300,62,407
2022/06/19 0000,63,297
2022/06/19 0100,60,249
2022/06/19 0200,58,166
2022/06/19 0300,61,141
2022/06/19 0400,61,121
2022/06/19 0500,59,131
2022/06/19 0600,58,188
2022/06/19 0700,61,243
2022/06/19 0800,61,293
2022/06/19 0900,60,318
2022/06/19 1000,61,408
2022/06/19 1100,60,548
2022/06/19 1200,58,654
2022/06/19 1300,59,642
2022/06/19 1400,60,626
2022/06/19 1500,59,667
2022/06/19 1600,58,794
2022/06/19 1700,57,771
2022/06/19 1800,59,730
2022/06/19 1900,58,763
2022/06/19 2000,58,620
2022/06/19 2100,60,671
2022/06/19 2200,61,582
2022/06/19 2300,62,368
2022/06/20 0000,64,325
2022/06/20 0100,60,193
2022/06/20 0200,61,171
2022/06/20 0300,64,111
2022/06/20 0400,60,95
2022/06/20 0500,59,86
2022/06/20 0600,59,138
2022/06/20 0700,62,300
2022/06/20 0800,59,624
2022/06/20 0900,58,790
2022/06/20 1000,59,698
2022/06/20 1100,59,645
2022/06/20 1200,59,695
2022/06/20 1300,60,688
2022/06/20 1400,58,726
2022/06/20 1500,56,766
2022/06/20 1600,58,777
2022/06/20 1700,57,801
2022/06/20 1800,56,909
2022/06/20 1900,58,853
2022/06/20 2000,59,681
2022/06/20 2100,60,536
2022/06/20 2200,60,467
2022/06/20 2300,62,325
2022/06/21 0000,64,223
2022/06/21 0100,59,174
2022/06/21 0200,60,151
2022/06/21 0300,62,117
2022/06/21 0400,61,133
2022/06/21 0500,58,124
2022/06/21 0600,58,170
2022/06/21 0700,61,282
2022/06/21 0800,58,703
2022/06/21 0900,57,823
2022/06/21 1000,59,756
2022/06/21 1100,58,740
2022/06/21 1200,58,737
2022/06/21 1300,60,634
2022/06/21 1400,59,743
2022/06/21 1500,57,840
2022/06/21 1600,58,743
2022/06/21 1700,57,739
2022/06/21 1800,57,884
2022/06/21 1900,58,788
2022/06/21 2000,60,555
2022/06/21 2100,60,478
2022/06/21 2200,60,490
2022/06/21 2300,62,326
2022/06/22 0000,64,243
2022/06/22 0100,60,175
2022/06/22 0200,61,146
2022/06/22 0300,61,117
2022/06/22 0400,61,103
2022/06/22 0500,61,126
2022/06/22 0600,57,148
2022/06/22 0700,61,306
2022/06/22 0800,59,570
2022/06/22 0900,57,801
2022/06/22 1000,58,585
2022/06/22 1100,58,611
2022/06/22 1200,59,582
2022/06/22 1300,58,580
2022/06/22 1400,58,688
2022/06/22 1500,58,615
2022/06/22 1600,58,707
2022/06/22 1700,58,755
2022/06/22 1800,53,812
2022/06/22 1900,57,695
2022/06/22 2000,59,577
2022/06/22 2100,60,490
2022/06/22 2200,59,503
2022/06/22 2300,62,303
2022/06/23 0000,63,185
2022/06/23 0100,60,192
2022/06/23 0200,59,117
2022/06/23 0300,60,101
2022/06/23 0400,59,119
2022/06/23 0500,60,114
2022/06/23 0600,56,180
2022/06/23 0700,59,287
2022/06/23 0800,59,572
2022/06/23 0900,58,763
2022/06/23 1000,59,676
2022/06/23 1100,59,699
2022/06/23 1200,59,657
2022/06/23 1300,59,581
2022/06/23 1400,58,565
2022/06/23 1500,58,797
2022/06/23 1600,58,770
2022/06/23 1700,57,772
2022/06/23 1800,56,847
2022/06/23 1900,57,901
2022/06/23 2000,59,687
2022/06/23 2100,59,484
2022/06/23 2200,61,412
2022/06/23 2300,63,291
2022/06/24 0000,62,228
2022/06/24 0100,60,146
2022/06/24 0200,61,115
2022/06/24 0300,58,88
2022/06/24 0400,60,116
2022/06/24 0500,57,121
2022/06/24 0600,59,194
2022/06/24 0700,59,287
2022/06/24 0800,57,701
2022/06/24 0900,57,728
2022/06/24 1000,57,633
2022/06/24 1100,57,616
2022/06/24 1200,57,757
2022/06/24 1300,58,630
2022/06/24 1400,57,689
2022/06/24 1500,55,694
2022/06/24 1600,55,828
2022/06/24 1700,52,813
2022/06/24 1800,49,787
2022/06/24 1900,52,803
2022/06/24 2000,51,763
2022/06/24 2100,54,670
2022/06/24 2200,57,598
2022/06/24 2300,59,412
2022/06/25 0000,60,252
2022/06/25 0100,57,194
2022/06/25 0200,58,126
2022/06/25 0300,60,114
2022/06/25 0400,60,121
2022/06/25 0500,61,139
2022/06/25 0600,58,229
2022/06/25 0700,58,366
2022/06/25 0800,58,490
2022/06/25 0900,57,617
2022/06/25 1000,55,743
2022/06/25 1100,54,702
2022/06/25 1200,55,699
2022/06/25 1300,55,687
2022/06/25 1400,52,633
2022/06/25 1500,53,879
2022/06/25 1600,52,759
2022/06/25 1700,50,923
2022/06/25 1800,50,853
2022/06/25 1900,51,801
2022/06/25 2000,56,812
2022/06/25 2100,58,629
2022/06/25 2200,59,550
2022/06/25 2300,63,474
2022/06/26 0000,61,333
2022/06/26 0100,59,256
2022/06/26 0200,59,219
2022/06/26 0300,62,147
2022/06/26 0400,60,143
2022/06/26 0500,61,137
2022/06/26 0600,58,209
2022/06/26 0700,62,248
2022/06/26 0800,62,323
2022/06/26 0900,59,407
2022/06/26 1000,58,489
2022/06/26 1100,56,612
2022/06/26 1200,56,692
2022/06/26 1300,57,592
2022/06/26 1400,59,667
2022/06/26 1500,59,670
2022/06/26 1600,59,686
2022/06/26 1700,56,594
2022/06/26 1800,55,751
2022/06/26 1900,56,711
2022/06/26 2000,57,733
2022/06/26 2100,58,679
2022/06/26 2200,60,521
2022/06/26 2300,62,360
2022/06/27 0000,62,256
2022/06/27 0100,60,169
2022/06/27 0200,61,135
2022/06/27 0300,63,87
2022/06/27 0400,62,79
2022/06/27 0500,61,58
2022/06/27 0600,58,131
2022/06/27 0700,61,270
2022/06/27 0800,57,643
2022/06/27 0900,56,634
2022/06/27 1000,59,511
2022/06/27 1100,57,581
2022/06/27 1200,58,588
2022/06/27 1300,59,619
2022/06/27 1400,58,604
2022/06/27 1500,57,727
2022/06/27 1600,57,689
2022/06/27 1700,58,718
2022/06/27 1800,58,694
2022/06/27 1900,47,829
2022/06/27 2000,59,572
2022/06/27 2100,59,468
2022/06/27 2200,59,452
2022/06/27 2300,61,261
2022/06/28 0000,62,195
2022/06/28 0100,59,143
2022/06/28 0200,61,106
2022/06/28 0300,63,68
2022/06/28 0400,61,102
2022/06/28 0500,58,90
2022/06/28 0600,57,212
2022/06/28 0700,60,340
2022/06/28 0800,58,607
2022/06/28 0900,59,716
2022/06/28 1000,58,732
2022/06/28 1100,57,664
2022/06/28 1200,60,626
2022/06/28 1300,59,685
2022/06/28 1400,58,706
2022/06/28 1500,58,826
2022/06/28 1600,58,733
2022/06/28 1700,57,857
2022/06/28 1800,57,954
2022/06/28 1900,57,855
2022/06/28 2000,59,604
2022/06/28 2100,60,578
2022/06/28 2200,60,494
2022/06/28 2300,62,336
2022/06/29 0000,63,227
2022/06/29 0100,60,177
2022/06/29 0200,59,133
2022/06/29 0300,63,96
2022/06/29 0400,61,109
2022/06/29 0500,56,91
2022/06/29 0600,58,170
2022/06/29 0700,59,383
2022/06/29 0800,60,723
2022/06/29 0900,57,673
2022/06/29 1000,58,731
2022/06/29 1100,57,706
2022/06/29 1200,56,738
2022/06/29 1300,57,762
2022/06/29 1400,56,627
2022/06/29 1500,58,753
2022/06/29 1600,56,308
2022/06/29 1800,0,0
2022/06/29 1900,0,0
2022/06/29 2000,0,0
2022/06/29 2100,0,0
2022/06/29 2200,0,0
2022/06/29 2300,0,0
2022/06/30 0000,0,0
2022/06/30 0100,0,0
2022/06/30 0200,0,0
2022/06/30 0300,0,0
2022/06/30 0400,0,0
2022/06/30 0500,0,0
2022/06/30 0600,0,0
2022/06/30 0700,0,0
2022/06/30 0800,0,0
2022/06/30 0900,0,0
2022/06/30 1000,0,0
2022/06/30 1100,0,0
2022/06/30 1200,0,0
2022/06/30 1300,0,0
2022/06/30 1400,0,0
2022/06/30 1500,0,0
2022/06/30 1600,0,0
2022/06/30 1700,0,0
2022/06/30 1800,0,0
2022/06/30 1900,0,0
2022/06/30 2000,0,0
2022/06/30 2100,0,0
2022/06/30 2200,0,0
2022/06/30 2300,0,0
2022/06/29 1600,0,0
