Road Segment ID,V003340,Road Segment Name,中清路二段(經貿一路~大鵬路間)(向南)
Date and Time,Average Speed (km\h),Traffic Volume
2022/03/01 0000,59,23
2022/03/01 0100,62,178
2022/03/01 0200,62,123
2022/03/01 0300,62,112
2022/03/01 0400,64,135
2022/03/01 0500,60,181
2022/03/01 0600,57,229
2022/03/01 0700,59,755
2022/03/01 0800,57,986
2022/03/01 0900,54,775
2022/03/01 1000,58,707
2022/03/01 1100,58,754
2022/03/01 1200,57,749
2022/03/01 1300,58,673
2022/03/01 1400,57,751
2022/03/01 1500,57,826
2022/03/01 1600,57,707
2022/03/01 1700,56,663
2022/03/01 1800,56,837
2022/03/01 1900,59,767
2022/03/01 2000,59,709
2022/03/01 2100,60,622
2022/03/01 2200,61,494
2022/03/01 2300,62,307
2022/03/02 0000,61,205
2022/03/02 0100,63,133
2022/03/02 0200,62,121
2022/03/02 0300,61,112
2022/03/02 0400,63,108
2022/03/02 0500,61,144
2022/03/02 0600,59,268
2022/03/02 0700,59,765
2022/03/02 0800,58,778
2022/03/02 0900,57,783
2022/03/02 1000,57,766
2022/03/02 1100,58,760
2022/03/02 1200,58,667
2022/03/02 1300,57,743
2022/03/02 1400,57,796
2022/03/02 1500,57,762
2022/03/02 1600,56,859
2022/03/02 1700,55,1017
2022/03/02 1800,56,864
2022/03/02 1900,58,673
2022/03/02 2000,59,773
2022/03/02 2100,59,616
2022/03/02 2200,61,411
2022/03/02 2300,62,335
2022/03/03 0000,62,252
2022/03/03 0100,62,176
2022/03/03 0200,62,116
2022/03/03 0300,61,116
2022/03/03 0400,62,115
2022/03/03 0500,59,99
2022/03/03 0600,57,242
2022/03/03 0700,58,622
2022/03/03 0800,55,787
2022/03/03 0900,57,604
2022/03/03 1000,54,775
2022/03/03 1100,57,594
2022/03/03 1200,56,575
2022/03/03 1300,56,608
2022/03/03 1400,56,691
2022/03/03 1500,57,632
2022/03/03 1600,56,671
2022/03/03 1700,54,879
2022/03/03 1800,55,689
2022/03/03 1900,58,743
2022/03/03 2000,58,683
2022/03/03 2100,59,526
2022/03/03 2200,59,433
2022/03/03 2300,62,291
2022/03/04 0000,60,206
2022/03/04 0100,61,179
2022/03/04 0200,62,116
2022/03/04 0300,62,116
2022/03/04 0400,62,107
2022/03/04 0500,60,143
2022/03/04 0600,56,290
2022/03/04 0700,58,645
2022/03/04 0800,56,785
2022/03/04 0900,55,681
2022/03/04 1000,57,614
2022/03/04 1100,57,654
2022/03/04 1200,58,649
2022/03/04 1300,57,585
2022/03/04 1400,56,693
2022/03/04 1500,54,797
2022/03/04 1600,54,837
2022/03/04 1700,54,858
2022/03/04 1800,55,850
2022/03/04 1900,56,818
2022/03/04 2000,58,653
2022/03/04 2100,57,814
2022/03/04 2200,60,548
2022/03/04 2300,61,443
2022/03/05 0000,61,305
2022/03/05 0100,59,233
2022/03/05 0200,58,188
2022/03/05 0300,63,139
2022/03/05 0400,60,158
2022/03/05 0500,58,195
2022/03/05 0600,59,272
2022/03/05 0700,60,434
2022/03/05 0800,56,616
2022/03/05 0900,59,603
2022/03/05 1000,57,745
2022/03/05 1100,56,840
2022/03/05 1200,56,795
2022/03/05 1300,55,747
2022/03/05 1400,54,934
2022/03/05 1500,56,784
2022/03/05 1600,55,804
2022/03/05 1700,54,731
2022/03/05 1800,53,791
2022/03/05 1900,54,697
2022/03/05 2000,57,572
2022/03/05 2100,59,593
2022/03/05 2200,59,622
2022/03/05 2300,61,490
2022/03/06 0000,60,336
2022/03/06 0100,59,267
2022/03/06 0200,60,203
2022/03/06 0300,61,171
2022/03/06 0400,61,150
2022/03/06 0500,58,211
2022/03/06 0600,58,283
2022/03/06 0700,60,356
2022/03/06 0800,60,499
2022/03/06 0900,58,558
2022/03/06 1000,56,644
2022/03/06 1100,57,616
2022/03/06 1200,59,666
2022/03/06 1300,60,729
2022/03/06 1400,58,825
2022/03/06 1500,58,811
2022/03/06 1600,56,791
2022/03/06 1700,54,716
2022/03/06 1800,55,772
2022/03/06 1900,57,609
2022/03/06 2000,58,826
2022/03/06 2100,60,739
2022/03/06 2200,60,560
2022/03/06 2300,62,429
2022/03/07 0000,63,221
2022/03/07 0100,62,189
2022/03/07 0200,60,112
2022/03/07 0300,63,113
2022/03/07 0400,61,83
2022/03/07 0500,56,138
2022/03/07 0600,56,320
2022/03/07 0700,56,833
2022/03/07 0800,50,1106
2022/03/07 0900,54,979
2022/03/07 1000,55,732
2022/03/07 1100,54,804
2022/03/07 1200,56,901
2022/03/07 1300,57,870
2022/03/07 1400,55,951
2022/03/07 1500,57,741
2022/03/07 1600,56,986
2022/03/07 1700,57,893
2022/03/07 1800,53,1011
2022/03/07 1900,57,984
2022/03/07 2000,58,780
2022/03/07 2100,57,617
2022/03/07 2200,61,504
2022/03/07 2300,62,340
2022/03/08 0000,60,219
2022/03/08 0100,60,190
2022/03/08 0200,57,118
2022/03/08 0300,61,109
2022/03/08 0400,60,133
2022/03/08 0500,56,145
2022/03/08 0600,57,311
2022/03/08 0700,57,802
2022/03/08 0800,54,866
2022/03/08 0900,55,770
2022/03/08 1000,55,427
2022/03/08 1100,57,641
2022/03/08 1200,57,751
2022/03/08 1300,56,749
2022/03/08 1400,57,779
2022/03/08 1500,55,829
2022/03/08 1600,56,863
2022/03/08 1700,54,912
2022/03/08 1800,53,908
2022/03/08 1900,53,1005
2022/03/08 2000,56,851
2022/03/08 2100,58,735
2022/03/08 2200,57,658
2022/03/08 2300,61,474
2022/03/09 0000,62,299
2022/03/09 0100,59,226
2022/03/09 0200,61,184
2022/03/09 0300,61,109
2022/03/09 0400,60,125
2022/03/09 0500,61,123
2022/03/09 0600,57,150
2022/03/09 0700,60,353
2022/03/09 0800,55,782
2022/03/09 0900,53,754
2022/03/09 1000,58,755
2022/03/09 1100,57,643
2022/03/09 1200,57,675
2022/03/09 1300,57,565
2022/03/09 1400,56,773
2022/03/09 1500,55,867
2022/03/09 1600,57,850
2022/03/09 1700,54,756
2022/03/09 1800,53,821
2022/03/09 1900,53,938
2022/03/09 2000,59,676
2022/03/09 2100,59,560
2022/03/09 2200,57,646
2022/03/09 2300,62,464
2022/03/10 0000,62,327
2022/03/10 0100,58,201
2022/03/10 0200,60,156
2022/03/10 0300,62,100
2022/03/10 0400,62,119
2022/03/10 0500,62,104
2022/03/10 0600,59,164
2022/03/10 0700,58,357
2022/03/10 0800,58,689
2022/03/10 0900,57,783
2022/03/10 1000,58,648
2022/03/10 1100,56,614
2022/03/10 1200,60,389
2022/03/10 1300,57,617
2022/03/10 1400,58,811
2022/03/10 1500,55,729
2022/03/10 1600,55,716
2022/03/10 1700,51,805
2022/03/10 1800,51,810
2022/03/10 1900,51,700
2022/03/10 2000,58,803
2022/03/10 2100,59,577
2022/03/10 2200,58,695
2022/03/10 2300,62,310
2022/03/11 0000,64,267
2022/03/11 0100,59,192
2022/03/11 0200,58,208
2022/03/11 0300,59,136
2022/03/11 0400,57,148
2022/03/11 0500,57,154
2022/03/11 0600,54,210
2022/03/11 0700,59,418
2022/03/11 0800,55,692
2022/03/11 0900,53,941
2022/03/11 1000,57,638
2022/03/11 1100,56,650
2022/03/11 1200,56,766
2022/03/11 1300,58,691
2022/03/11 1400,56,821
2022/03/11 1500,57,746
2022/03/11 1600,56,891
2022/03/11 1700,51,701
2022/03/11 1800,51,1034
2022/03/11 1900,52,789
2022/03/11 2000,56,906
2022/03/11 2100,57,796
2022/03/11 2200,56,712
2022/03/11 2300,60,519
2022/03/12 0000,61,424
2022/03/12 0100,58,331
2022/03/12 0200,59,256
2022/03/12 0300,60,193
2022/03/12 0400,59,164
2022/03/12 0500,57,168
2022/03/12 0600,58,198
2022/03/12 0700,60,318
2022/03/12 0800,59,527
2022/03/12 0900,51,841
2022/03/12 1000,53,827
2022/03/12 1100,55,787
2022/03/12 1200,54,751
2022/03/12 1300,54,793
2022/03/12 1400,55,924
2022/03/12 1500,54,959
2022/03/12 1600,54,738
2022/03/12 1700,50,846
2022/03/12 1800,51,887
2022/03/12 1900,50,833
2022/03/12 2000,55,787
2022/03/12 2100,55,708
2022/03/12 2200,59,761
2022/03/12 2300,62,595
2022/03/13 0000,63,461
2022/03/13 0100,58,360
2022/03/13 0200,59,241
2022/03/13 0300,60,216
2022/03/13 0400,60,169
2022/03/13 0500,59,193
2022/03/13 0600,56,221
2022/03/13 0700,61,312
2022/03/13 0800,61,390
2022/03/13 0900,55,566
2022/03/13 1000,58,634
2022/03/13 1100,57,699
2022/03/13 1200,55,789
2022/03/13 1300,56,807
2022/03/13 1400,55,805
2022/03/13 1500,56,789
2022/03/13 1600,56,844
2022/03/13 1700,54,821
2022/03/13 1800,52,861
2022/03/13 1900,51,841
2022/03/13 2000,55,825
2022/03/13 2100,55,805
2022/03/13 2200,59,650
2022/03/13 2300,61,406
2022/03/14 0000,63,348
2022/03/14 0100,59,249
2022/03/14 0200,59,182
2022/03/14 0300,60,134
2022/03/14 0400,60,113
2022/03/14 0500,58,116
2022/03/14 0600,57,154
2022/03/14 0700,60,374
2022/03/14 0800,57,856
2022/03/14 0900,54,759
2022/03/14 1000,56,709
2022/03/14 1100,56,665
2022/03/14 1200,58,599
2022/03/14 1300,59,666
2022/03/14 1400,56,714
2022/03/14 1500,56,703
2022/03/14 1600,57,737
2022/03/14 1700,53,774
2022/03/14 1800,49,744
2022/03/14 1900,49,798
2022/03/14 2000,57,669
2022/03/14 2100,61,626
2022/03/14 2200,60,467
2022/03/14 2300,61,361
