Road ID,Date and Time,Average Speed (km\h),Traffic Volume
V003340,2022/06/01 0000,71,7
V003340,2022/06/01 0100,61,131
V003340,2022/06/01 0200,62,87
V003340,2022/06/01 0300,62,81
V003340,2022/06/01 0400,60,80
V003340,2022/06/01 0500,61,107
V003340,2022/06/01 0600,59,157
V003340,2022/06/01 0700,61,338
V003340,2022/06/01 0800,59,692
V003340,2022/06/01 0900,58,633
V003340,2022/06/01 1000,58,707
V003340,2022/06/01 1100,57,677
V003340,2022/06/01 1200,59,658
V003340,2022/06/01 1300,60,698
V003340,2022/06/01 1400,58,766
V003340,2022/06/01 1500,58,812
V003340,2022/06/01 1600,58,638
V003340,2022/06/01 1700,58,734
V003340,2022/06/01 1800,55,697
V003340,2022/06/01 1900,58,784
V003340,2022/06/01 2000,60,568
V003340,2022/06/01 2100,60,548
V003340,2022/06/01 2200,58,523
V003340,2022/06/01 2300,62,303
V003340,2022/06/02 0000,63,213
V003340,2022/06/02 0100,59,177
V003340,2022/06/02 0200,60,132
V003340,2022/06/02 0300,62,108
V003340,2022/06/02 0400,59,87
V003340,2022/06/02 0500,61,125
V003340,2022/06/02 0600,58,191
V003340,2022/06/02 0700,61,290
V003340,2022/06/02 0800,59,634
V003340,2022/06/02 0900,57,609
V003340,2022/06/02 1000,59,564
V003340,2022/06/02 1100,57,634
V003340,2022/06/02 1200,58,696
V003340,2022/06/02 1300,59,649
V003340,2022/06/02 1400,59,628
V003340,2022/06/02 1500,56,820
V003340,2022/06/02 1600,58,763
V003340,2022/06/02 1700,58,729
V003340,2022/06/02 1800,41,820
V003340,2022/06/02 1900,47,767
V003340,2022/06/02 2000,57,685
V003340,2022/06/02 2100,59,550
V003340,2022/06/02 2200,59,534
V003340,2022/06/02 2300,60,362
V003340,2022/06/03 0000,62,248
V003340,2022/06/03 0100,61,153
V003340,2022/06/03 0200,58,176
V003340,2022/06/03 0300,61,131
V003340,2022/06/03 0400,61,110
V003340,2022/06/03 0500,60,120
V003340,2022/06/03 0600,57,185
V003340,2022/06/03 0700,59,258
V003340,2022/06/03 0800,58,306
V003340,2022/06/03 0900,59,434
V003340,2022/06/03 1000,60,448
V003340,2022/06/03 1100,59,587
V003340,2022/06/03 1200,57,647
V003340,2022/06/03 1300,58,558
V003340,2022/06/03 1400,60,568
V003340,2022/06/03 1500,60,607
V003340,2022/06/03 1600,59,627
V003340,2022/06/03 1700,58,696
V003340,2022/06/03 1800,58,679
V003340,2022/06/03 1900,58,647
V003340,2022/06/03 2000,58,564
V003340,2022/06/03 2100,60,525
V003340,2022/06/03 2200,60,402
V003340,2022/06/03 2300,63,332
V003340,2022/06/04 0000,63,259
V003340,2022/06/04 0100,61,259
V003340,2022/06/04 0200,61,143
V003340,2022/06/04 0300,62,152
V003340,2022/06/04 0400,60,121
V003340,2022/06/04 0500,62,129
V003340,2022/06/04 0600,58,198
V003340,2022/06/04 0700,61,277
V003340,2022/06/04 0800,60,348
V003340,2022/06/04 0900,59,459
V003340,2022/06/04 1000,59,600
V003340,2022/06/04 1100,57,746
V003340,2022/06/04 1200,53,760
V003340,2022/06/04 1300,55,625
V003340,2022/06/04 1400,58,726
V003340,2022/06/04 1500,57,827
V003340,2022/06/04 1600,55,666
V003340,2022/06/04 1700,52,716
V003340,2022/06/04 1800,54,788
V003340,2022/06/04 1900,54,563
V003340,2022/06/04 2000,58,553
V003340,2022/06/04 2100,60,551
V003340,2022/06/04 2200,60,510
V003340,2022/06/04 2300,63,316
V003340,2022/06/05 0000,64,235
V003340,2022/06/05 0100,62,257
V003340,2022/06/05 0200,61,165
V003340,2022/06/05 0300,62,136
V003340,2022/06/05 0400,61,131
V003340,2022/06/05 0500,62,124
V003340,2022/06/05 0600,59,170
V003340,2022/06/05 0700,61,172
V003340,2022/06/05 0800,62,251
V003340,2022/06/05 0900,61,352
V003340,2022/06/05 1000,60,403
V003340,2022/06/05 1100,57,525
V003340,2022/06/05 1200,58,580
V003340,2022/06/05 1300,59,570
V003340,2022/06/05 1400,58,656
V003340,2022/06/05 1500,59,603
V003340,2022/06/05 1600,58,618
V003340,2022/06/05 1700,56,655
V003340,2022/06/05 1800,56,611
V003340,2022/06/05 1900,55,592
V003340,2022/06/05 2000,58,676
V003340,2022/06/05 2100,59,511
V003340,2022/06/05 2200,62,464
V003340,2022/06/05 2300,63,374
V003340,2022/06/06 0000,64,263
V003340,2022/06/06 0100,61,174
V003340,2022/06/06 0200,63,95
V003340,2022/06/06 0300,59,94
V003340,2022/06/06 0400,63,69
V003340,2022/06/06 0500,59,71
V003340,2022/06/06 0600,56,115
V003340,2022/06/06 0700,61,266
V003340,2022/06/06 0800,58,701
V003340,2022/06/06 0900,57,721
V003340,2022/06/06 1000,57,616
V003340,2022/06/06 1100,57,608
V003340,2022/06/06 1200,58,577
V003340,2022/06/06 1300,58,586
V003340,2022/06/06 1400,55,715
V003340,2022/06/06 1500,54,885
V003340,2022/06/06 1600,57,736
V003340,2022/06/06 1700,53,914
V003340,2022/06/06 1800,55,859
V003340,2022/06/06 1900,55,721
V003340,2022/06/06 2000,57,616
V003340,2022/06/06 2100,61,553
