Road Segment ID,V040600,Road Segment Name,中清路二段(經貿一路~敦化路間)(向北)
Date and Time,Average Speed (km\h),Traffic Volume
2022/01/01 0000,19,15
2022/01/01 0100,51,534
2022/01/01 0200,51,573
2022/01/01 0300,56,266
2022/01/01 0400,60,251
2022/01/01 0500,62,207
2022/01/01 0600,62,291
2022/01/01 0700,57,392
2022/01/01 0800,56,493
2022/01/01 0900,58,562
2022/01/01 1000,56,833
2022/01/01 1100,54,874
2022/01/01 1200,36,604
2022/01/01 1300,41,545
2022/01/01 1400,48,663
2022/01/01 1500,53,998
2022/01/01 1600,52,1086
2022/01/01 1700,54,941
2022/01/01 1800,51,614
2022/01/01 1900,36,171
2022/01/01 2000,50,935
2022/01/01 2100,52,837
2022/01/01 2200,54,822
2022/01/01 2300,57,674
2022/01/02 0000,60,444
2022/01/02 0100,60,310
2022/01/02 0200,61,215
2022/01/02 0300,61,215
2022/01/02 0400,63,177
2022/01/02 0500,62,174
2022/01/02 0600,62,223
2022/01/02 0700,59,326
2022/01/02 0800,56,413
2022/01/02 0900,58,543
2022/01/02 1000,55,414
2022/01/02 1100,45,550
2022/01/02 1200,48,589
2022/01/02 1300,47,907
2022/01/02 1400,51,1043
2022/01/02 1500,36,769
2022/01/02 1600,53,831
2022/01/02 1700,53,820
2022/01/02 1800,54,825
2022/01/02 1900,52,878
2022/01/02 2000,52,888
2022/01/02 2100,52,930
2022/01/02 2200,55,679
2022/01/02 2300,57,584
2022/01/03 0000,61,389
2022/01/03 0100,61,218
2022/01/03 0200,63,167
2022/01/03 0300,63,120
2022/01/03 0400,64,100
2022/01/03 0500,62,148
2022/01/03 0600,60,246
2022/01/03 0700,54,792
2022/01/03 0800,53,961
2022/01/03 0900,44,970
2022/01/03 1000,59,841
2022/01/03 1100,58,736
2022/01/03 1200,55,880
2022/01/03 1300,58,825
2022/01/03 1400,56,924
2022/01/03 1500,54,987
2022/01/03 1600,54,965
2022/01/03 1700,40,628
2022/01/03 1800,53,770
2022/01/03 1900,53,792
2022/01/03 2000,55,749
2022/01/03 2100,58,675
2022/01/03 2200,54,630
2022/01/03 2300,57,498
2022/01/04 0000,60,295
2022/01/04 0100,61,202
2022/01/04 0200,64,116
2022/01/04 0300,64,169
2022/01/04 0400,63,119
2022/01/04 0500,64,151
2022/01/04 0600,61,228
2022/01/04 0700,55,685
2022/01/04 0800,53,849
2022/01/04 0900,50,690
2022/01/04 1000,58,856
2022/01/04 1100,58,747
2022/01/04 1200,57,920
2022/01/04 1300,57,795
2022/01/04 1400,59,798
2022/01/04 1500,56,896
2022/01/04 1600,58,150
2022/01/04 1700,53,662
2022/01/04 1800,53,921
2022/01/04 1900,52,883
2022/01/04 2000,54,556
2022/01/04 2100,57,667
2022/01/04 2200,54,639
2022/01/04 2300,57,442
2022/01/05 0000,60,323
2022/01/05 0100,61,204
2022/01/05 0200,65,147
2022/01/05 0300,64,165
2022/01/05 0400,65,123
2022/01/05 0500,62,136
2022/01/05 0600,63,240
2022/01/05 0700,54,702
2022/01/05 0800,52,936
2022/01/05 0900,57,870
2022/01/05 1000,57,904
2022/01/05 1100,58,796
2022/01/05 1200,56,829
2022/01/05 1300,58,790
2022/01/05 1400,58,825
2022/01/05 1500,57,880
2022/01/05 1600,55,645
2022/01/05 1700,52,848
2022/01/05 1800,53,879
2022/01/05 1900,51,889
2022/01/05 2000,56,763
2022/01/05 2100,58,678
2022/01/05 2200,53,596
2022/01/05 2300,57,503
2022/01/06 0000,59,291
2022/01/06 0100,60,222
2022/01/06 0200,64,157
2022/01/06 0300,63,146
2022/01/06 0400,65,145
2022/01/06 0500,64,142
2022/01/06 0600,62,206
2022/01/06 0700,54,678
2022/01/06 0800,36,650
2022/01/06 0900,51,643
2022/01/06 1000,39,867
2022/01/06 1100,46,812
2022/01/06 1200,39,847
2022/01/06 1300,42,899
2022/01/06 1400,34,491
2022/01/06 1500,35,626
2022/01/06 1600,39,993
2022/01/06 1700,44,822
2022/01/06 1800,48,819
2022/01/06 1900,45,892
2022/01/06 2000,52,737
2022/01/06 2100,51,887
2022/01/06 2200,50,765
2022/01/06 2300,55,563
2022/01/07 0000,55,365
2022/01/07 0100,56,269
2022/01/07 0200,62,179
2022/01/07 0300,60,151
2022/01/07 0400,61,154
2022/01/07 0500,62,153
2022/01/07 0600,59,221
2022/01/07 0700,53,765
2022/01/07 0800,46,883
2022/01/07 0900,52,1037
2022/01/07 1000,52,1033
2022/01/07 1100,52,959
2022/01/07 1200,51,990
2022/01/07 1300,47,905
2022/01/07 1400,33,436
2022/01/07 1500,33,582
2022/01/07 1600,32,666
2022/01/07 1700,33,418
2022/01/07 1800,28,748
2022/01/07 1900,39,863
2022/01/07 2000,54,861
2022/01/07 2100,44,868
2022/01/07 2200,38,727
2022/01/07 2300,53,676
2022/01/08 0000,57,433
2022/01/08 0100,59,319
2022/01/08 0200,60,254
2022/01/08 0300,61,213
2022/01/08 0400,63,189
2022/01/08 0500,63,178
2022/01/08 0600,60,283
2022/01/08 0700,56,500
2022/01/08 0800,52,738
2022/01/08 0900,36,1016
2022/01/08 1000,51,996
2022/01/08 1100,35,947
2022/01/08 1200,30,994
2022/01/08 1300,50,914
2022/01/08 1400,55,842
2022/01/08 1500,53,736
2022/01/08 1600,53,932
2022/01/08 1700,52,906
2022/01/08 1800,51,608
2022/01/08 1900,48,680
2022/01/08 2000,53,857
2022/01/08 2100,53,834
2022/01/08 2200,55,658
2022/01/08 2300,56,708
2022/01/09 0000,60,466
2022/01/09 0100,60,311
2022/01/09 0200,62,214
2022/01/09 0300,63,224
2022/01/09 0400,63,194
2022/01/09 0500,65,162
2022/01/09 0600,60,254
2022/01/09 0700,56,386
2022/01/09 0800,57,481
2022/01/09 0900,57,636
2022/01/09 1000,57,750
2022/01/09 1100,55,814
2022/01/09 1200,56,841
2022/01/09 1300,56,854
2022/01/09 1400,55,860
2022/01/09 1500,54,911
2022/01/09 1600,47,580
2022/01/09 1700,48,865
2022/01/09 1800,34,581
2022/01/09 1900,45,615
2022/01/09 2000,38,108
2022/01/09 2100,49,705
2022/01/09 2200,55,829
2022/01/09 2300,57,552
2022/01/10 0000,61,325
2022/01/10 0100,63,200
2022/01/10 0200,64,167
2022/01/10 0300,64,103
2022/01/10 0400,64,103
2022/01/10 0500,64,123
2022/01/10 0600,63,223
2022/01/10 0700,55,749
2022/01/10 0800,45,1118
2022/01/10 0900,56,948
2022/01/10 1000,56,846
2022/01/10 1100,56,819
2022/01/10 1200,56,842
2022/01/10 1300,57,872
2022/01/10 1400,56,821
2022/01/10 1500,56,974
2022/01/10 1600,52,776
2022/01/10 1700,55,891
2022/01/10 1800,53,764
2022/01/10 1900,52,817
2022/01/10 2000,56,765
2022/01/10 2100,56,812
2022/01/10 2200,54,746
2022/01/10 2300,58,504
2022/01/11 0000,59,310
2022/01/11 0100,62,200
2022/01/11 0200,64,175
2022/01/11 0300,59,211
2022/01/11 0400,47,199
2022/01/11 0500,26,298
2022/01/11 0600,31,484
2022/01/11 0700,38,744
2022/01/11 0800,33,764
2022/01/11 0900,33,679
2022/01/11 1000,36,562
2022/01/11 1100,42,798
2022/01/11 1200,33,486
2022/01/11 1300,33,463
2022/01/11 1400,33,511
2022/01/11 1500,39,465
2022/01/11 1600,37,432
2022/01/11 1700,34,622
2022/01/11 1800,34,609
2022/01/11 1900,32,599
2022/01/11 2000,52,626
2022/01/11 2100,55,756
2022/01/11 2200,54,743
2022/01/11 2300,55,541
2022/01/12 0000,58,347
2022/01/12 0100,62,195
2022/01/12 0200,64,178
2022/01/12 0300,63,168
2022/01/12 0400,62,134
2022/01/12 0500,61,163
2022/01/12 0600,61,226
2022/01/12 0700,55,711
2022/01/12 0800,53,1058
2022/01/12 0900,50,735
2022/01/12 1000,56,957
2022/01/12 1100,56,943
2022/01/12 1200,54,906
2022/01/12 1300,53,591
2022/01/12 1400,57,912
2022/01/12 1500,56,905
2022/01/12 1600,56,910
2022/01/12 1700,55,788
2022/01/12 1800,50,726
2022/01/12 1900,38,519
2022/01/12 2000,54,798
2022/01/12 2100,57,776
2022/01/12 2200,53,742
2022/01/12 2300,56,533
2022/01/13 0000,59,317
2022/01/13 0100,61,216
2022/01/13 0200,62,178
2022/01/13 0300,64,152
2022/01/13 0400,63,137
2022/01/13 0500,64,146
2022/01/13 0600,60,241
2022/01/13 0700,56,713
2022/01/13 0800,51,1139
2022/01/13 0900,53,869
2022/01/13 1000,36,761
2022/01/13 1100,33,850
2022/01/13 1200,38,1028
2022/01/13 1300,50,710
2022/01/13 1400,34,986
2022/01/13 1500,36,946
2022/01/13 1600,38,721
2022/01/13 1700,34,630
2022/01/13 1800,35,600
2022/01/13 1900,36,561
2022/01/13 2000,42,756
2022/01/13 2100,55,835
2022/01/13 2200,53,742
2022/01/13 2300,56,520
2022/01/14 0000,59,355
2022/01/14 0100,59,228
2022/01/14 0200,45,285
2022/01/14 0300,43,320
2022/01/14 0400,64,159
2022/01/14 0500,64,166
2022/01/14 0600,60,238
2022/01/14 0700,55,700
2022/01/14 0800,47,869
2022/01/14 0900,53,1079
2022/01/14 1000,55,1021
2022/01/14 1100,56,954
2022/01/14 1200,53,997
2022/01/14 1300,55,888
2022/01/14 1400,56,938
2022/01/14 1500,57,951
2022/01/14 1600,54,979
2022/01/14 1700,51,1002
2022/01/14 1800,49,830
2022/01/14 1900,35,743
2022/01/14 2000,51,872
2022/01/14 2100,53,920
2022/01/14 2200,52,879
2022/01/14 2300,53,792
2022/01/15 0000,57,464
2022/01/15 0100,59,314
2022/01/15 0200,64,202
2022/01/15 0300,64,195
2022/01/15 0400,62,202
2022/01/15 0500,63,170
2022/01/15 0600,61,271
2022/01/15 0700,57,442
2022/01/15 0800,56,723
2022/01/15 0900,53,872
2022/01/15 1000,53,983
2022/01/15 1100,55,853
2022/01/15 1200,51,853
2022/01/15 1300,32,569
2022/01/15 1400,53,720
2022/01/15 1500,52,1046
2022/01/15 1600,47,834
2022/01/15 1700,41,651
2022/01/15 1800,51,781
2022/01/15 1900,52,857
2022/01/15 2000,51,807
2022/01/15 2100,51,1035
2022/01/15 2200,53,944
2022/01/15 2300,53,669
2022/01/16 0000,59,548
2022/01/16 0100,60,314
2022/01/16 0200,62,252
2022/01/16 0300,61,260
2022/01/16 0400,64,216
2022/01/16 0500,62,203
2022/01/16 0600,62,285
2022/01/16 0700,59,387
2022/01/16 0800,57,529
2022/01/16 0900,57,670
2022/01/16 1000,56,817
2022/01/16 1100,55,937
2022/01/16 1200,53,795
2022/01/16 1300,32,907
2022/01/16 1400,35,1114
2022/01/16 1500,52,1133
2022/01/16 1600,53,967
2022/01/16 1700,50,832
2022/01/16 1800,54,888
2022/01/16 1900,53,803
2022/01/16 2000,44,1038
2022/01/16 2100,48,676
2022/01/16 2200,52,925
2022/01/16 2300,58,549
2022/01/17 0000,60,427
2022/01/17 0100,61,266
2022/01/17 0200,63,185
2022/01/17 0300,65,131
2022/01/17 0400,63,120
2022/01/17 0500,62,129
2022/01/17 0600,59,257
2022/01/17 0700,54,748
2022/01/17 0800,35,1303
2022/01/17 0900,53,959
2022/01/17 1000,54,956
2022/01/17 1100,54,988
2022/01/17 1200,39,823
2022/01/17 1300,55,928
2022/01/17 1400,43,885
2022/01/17 1500,42,897
2022/01/17 1600,40,822
2022/01/17 1700,48,955
2022/01/17 1800,45,634
2022/01/17 1900,50,871
2022/01/17 2000,50,871
2022/01/17 2100,54,812
2022/01/17 2200,49,777
2022/01/17 2300,55,506
2022/01/18 0000,58,341
2022/01/18 0100,59,262
2022/01/18 0200,63,182
2022/01/18 0300,62,160
2022/01/18 0400,63,153
2022/01/18 0500,61,146
2022/01/18 0600,57,245
2022/01/18 0700,54,733
2022/01/18 0800,47,1206
2022/01/18 0900,50,1028
2022/01/18 1000,55,980
2022/01/18 1100,35,685
2022/01/18 1200,38,842
2022/01/18 1300,29,398
2022/01/18 1400,47,1006
2022/01/18 1500,55,988
