Road Segment ID,V058700,Road Segment Name,五權西路-益豐路(往北)
Date and Time,Average Speed (km\h),Traffic Volume
2022/01/01 0000,3,1
2022/01/01 0100,20,31
2022/01/01 0200,13,20
2022/01/01 0300,26,17
2022/01/01 0400,23,15
2022/01/01 0500,14,19
2022/01/01 0600,14,17
2022/01/01 0700,14,28
2022/01/01 0800,25,47
2022/01/01 0900,20,52
2022/01/01 1000,27,89
2022/01/01 1100,17,83
2022/01/01 1200,28,135
2022/01/01 1300,22,68
2022/01/01 1400,27,85
2022/01/01 1500,24,108
2022/01/01 1600,30,110
2022/01/01 1700,32,92
2022/01/01 1800,30,125
2022/01/01 1900,28,86
2022/01/01 2000,24,91
2022/01/01 2100,25,39
2022/01/01 2200,21,54
2022/01/01 2300,21,28
2022/01/02 0000,20,25
2022/01/02 0100,24,19
2022/01/02 0200,15,4
2022/01/02 0300,31,8
2022/01/02 0400,0,3
2022/01/02 0500,9,6
2022/01/02 0600,15,10
2022/01/02 0700,21,13
2022/01/02 0800,17,40
2022/01/02 0900,27,57
2022/01/02 1000,27,65
2022/01/02 1100,26,96
2022/01/02 1200,28,158
2022/01/02 1300,28,98
2022/01/02 1400,26,113
2022/01/02 1500,29,109
2022/01/02 1600,27,109
2022/01/02 1700,28,158
2022/01/02 1800,32,148
2022/01/02 1900,30,96
2022/01/02 2000,26,92
2022/01/02 2100,25,53
2022/01/02 2200,21,62
2022/01/02 2300,22,29
2022/01/03 0000,18,20
2022/01/03 0100,19,10
2022/01/03 0200,9,3
2022/01/03 0300,7,4
2022/01/03 0400,16,6
2022/01/03 0500,13,8
2022/01/03 0600,4,6
2022/01/03 0700,16,44
2022/01/03 0800,31,288
2022/01/03 0900,34,256
2022/01/03 1000,30,142
2022/01/03 1100,24,120
2022/01/03 1200,26,145
2022/01/03 1300,25,132
2022/01/03 1400,23,133
2022/01/03 1500,26,162
2022/01/03 1600,29,131
2022/01/03 1700,29,193
2022/01/03 1800,34,271
2022/01/03 1900,33,255
2022/01/03 2000,24,116
2022/01/03 2100,27,84
2022/01/03 2200,24,66
2022/01/03 2300,19,40
2022/01/04 0000,10,19
2022/01/04 0100,7,5
2022/01/04 0200,11,9
2022/01/04 0300,10,4
2022/01/04 0400,9,8
2022/01/04 0500,3,9
2022/01/04 0600,13,10
2022/01/04 0700,13,43
2022/01/04 0800,30,305
2022/01/04 0900,35,265
2022/01/04 1000,23,129
2022/01/04 1100,24,100
2022/01/04 1200,28,125
2022/01/04 1300,28,118
